cdir_events_dilemma_payloads_tables	2
choice_key	dilemma_key	id	payload_key	value
FIRST	wh2_main_lzd_one_shot	1326145735	wh2_main_lzd_one_shot_first	DURATION[14]
SECOND	wh2_main_dilemma_loyalty_skv_pestilential_proposition_2_a	1327028312	LOYALTY	AMOUNT[-1]
SECOND	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_2_a	1327117668	TARGET	EVENT
SECOND	wh2_main_def_names_of_power_co_5_hex	1327524361	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_co_10_fatedshield]
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_19	1330	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_20	1334	wh_dlc03_payload_prep_moon_replenishment_high	DURATION[2];GLOBAL
THIRD	wh2_dlc08_confederate_wh_main_nor_sarl	1337492150	DIPLOMATIC_STANDING	AMOUNT[3]
SECOND	wh2_main_hef_intrigue_you_can_dance	1338761790	INFLUENCE	AMOUNT[-8]
SECOND	wh2_dlc08_confederate_wh_dlc08_nor_vanaheimlings	1342825136	TEXT_DISPLAY	LOOKUP[dummy_enemy_leader_killed]
FIRST	wh2_main_dilemma_loyalty_positive_skv_keg_of_boom	1343339880	ADD_ANCILLARY	ANCILLARY_KEY[wh2_main_anc_enchanted_item_odd_powder_keg];TARGET_OWNING_FACTION
SECOND	wh_dlc03_full_moon_preparations_full_moon_1	1344	wh_dlc03_payload_prep_moon_bestial_rage_low	DURATION[3];GLOBAL
SECOND	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3	1344737575	GIVE_TRAIT	TRAIT_KEY[wh2_dlc09_trait_merciless]
FIRST	wh2_main_dilemma_loyalty_positive_def_the_curse_of_kurnous	1346886494	ADD_ANCILLARY	ANCILLARY_KEY[wh2_main_anc_weapon_wrath_of_kurnous];TARGET_OWNING_FACTION
SECOND	wh_dlc03_full_moon_preparations_full_moon_2	1347	wh_dlc03_payload_prep_moon_bestial_rage_low	DURATION[3];GLOBAL
FIRST	wh2_main_def_names_of_power_ar_3_battle	1348359402	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_ar_04_barbstorm]
FIRST	wh_main_grn_gork_or_mork	135	wh_main_payload_event_gork	DURATION[3]
FOURTH	wh2_main_dilemma_loyalty_positive_skv_keg_of_boom	1351893461	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_skv_boom_master]
FOURTH	wh2_dlc11_vor_cst_dilemma_ocean_of_opportunities	1353876253	TEXT_DISPLAY	LOOKUP[dummy_ocean_of_opportunities_fourth]
SECOND	wh_dlc03_full_moon_preparations_full_moon_3	1357	wh_dlc03_payload_prep_moon_bestial_rage_low	DURATION[3];GLOBAL
FOURTH	wh2_main_dilemma_loyalty_positive_def_wrongly_accused	1359032234	TREASURY	AMOUNT[-1000]
SECOND	wh_main_grn_gork_or_mork	136	wh_main_payload_event_mork	DURATION[4]
SECOND	wh_dlc03_full_moon_preparations_full_moon_4	1366	wh_dlc03_payload_prep_moon_bestial_rage_low	DURATION[3];GLOBAL
THIRD	wh2_main_hef_intrigue_retainer_of_power	1366007626	wh2_main_hef_intrigue_retainer_of_power_third	DURATION[5]
SECOND	wh_dlc03_full_moon_preparations_full_moon_5	1367	wh_dlc03_payload_prep_moon_bestial_rage_low	DURATION[3];GLOBAL
SECOND	wh_dlc08_nor_hidden_fissure	1367940027	wh_dlc08_payload_hidden_fissure_second	DURATION[10]
SECOND	wh2_main_dilemma_loyalty_def_dark_crag_1	1369939013	TARGET	EVENT
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_4_a	1371114191	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure_minor]
SECOND	wh_dlc03_full_moon_preparations_full_moon_6	1373	wh_dlc03_payload_prep_moon_bestial_rage_low	DURATION[3];GLOBAL
SECOND	wh2_dlc09_tmb_dilemma_sinking_pyramid	1374413276	wh2_dlc09_payload_dilemma_sinking_pyramid_second	DURATION[10]
FIRST	wh2_main_lzd_a_tainted_bounty	1375525566	wh2_main_lzd_a_tainted_bounty_first	DURATION[8]
SECOND	wh_dlc03_full_moon_preparations_full_moon_7	1376	wh_dlc03_payload_prep_moon_bestial_rage_low	DURATION[3];GLOBAL
SECOND	wh2_main_hef_intrigue_the_folly_of_youth	1376069223	INFLUENCE	AMOUNT[20]
FIRST	wh2_dlc09_tmb_dilemma_drying_rivers	1376211777	wh2_dlc09_payload_dilemma_drying_rivers_first	DURATION[10]
SECOND	wh2_dlc11_cst_dilemma_great_golden_idol	1376754646	TEXT_DISPLAY	LOOKUP[dummy_cst_dilemma_avoid_diplomatic_penalty]
SECOND	wh_dlc03_full_moon_preparations_full_moon_8	1377	wh_dlc03_payload_prep_moon_bestial_rage_low	DURATION[3];GLOBAL
SECOND	wh_dlc03_full_moon_preparations_full_moon_9	1381	wh_dlc03_payload_prep_moon_bestial_rage_low	DURATION[3];GLOBAL
FIRST	wh2_main_hef_intrigue_they_who_whisper	1381296559	INFLUENCE	AMOUNT[-10]
FIRST	wh2_dlc08_confederate_wh2_main_nor_mung	1382221343	TEXT_DISPLAY	LOOKUP[dummy_confederate_wh2_main_nor_mung]
SECOND	wh_dlc03_full_moon_preparations_full_moon_10	1383	wh_dlc03_payload_prep_moon_bestial_rage_low	DURATION[3];GLOBAL
SECOND	wh2_main_dilemma_loyalty_def_black_council_1	1386999952	wh2_main_payload_public_order_positive_all_province_factionwide	DURATION[20];GLOBAL
SECOND	wh_dlc03_full_moon_preparations_full_moon_11	1388	wh_dlc03_payload_prep_moon_movement_low	DURATION[3];GLOBAL
SECOND	wh_dlc03_full_moon_preparations_full_moon_12	1390	wh_dlc03_payload_prep_moon_movement_low	DURATION[3];GLOBAL
SECOND	wh_dlc03_full_moon_preparations_full_moon_13	1393	wh_dlc03_payload_prep_moon_movement_low	DURATION[3];GLOBAL
FIRST	wh_dlc07_brt_confederation_bretonnia	1393556061	TEXT_DISPLAY	LOOKUP[dummy_confederate_bretonnia]
FIRST	wh2_main_dilemma_loyalty_positive_skv_a_noise_problem	1395219511	ADD_ANCILLARY	ANCILLARY_KEY[wh2_main_anc_enchanted_item_box_of_eerie_noises];TARGET_OWNING_FACTION
SECOND	wh_dlc03_full_moon_preparations_full_moon_14	1398	wh_dlc03_payload_prep_moon_movement_low	DURATION[3];GLOBAL
SECOND	wh_dlc07_brt_confederation_parravon	1398103554	TREASURY	AMOUNT[-5000]
SECOND	wh2_dlc09_agent_choice	140231975	TARGET	CAPITAL
SECOND	wh_dlc07_brt_confederation_artois	140449613	TEXT_DISPLAY	LOOKUP[dummy_confederate_artois]
FIRST	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_1	1404690271	wh_main_effect_campaign_enable_attrition	DURATION[1]
FIRST	wh2_main_dilemma_loyalty_positive_def_the_hermit	1404922003	LOYALTY	AMOUNT[-6]
THIRD	wh2_main_dilemma_loyalty_positive_def_the_statue	1405629383	WOUND_CHARACTER	
SECOND	wh_dlc03_full_moon_preparations_full_moon_15	1406	wh_dlc03_payload_prep_moon_movement_low	DURATION[3];GLOBAL
FIRST	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_2_a	1407356	TARGET	EVENT
THIRD	wh2_main_hef_intrigue_you_can_dance	1407770398	INFLUENCE	AMOUNT[18]
FIRST	wh2_main_dilemma_loyalty_positive_skv_whisper_rumours	1408031355	wh2_main_dilemma_loyalty_positive_skv_whisper_rumours_1	DURATION[6]
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_1_a	1409008832	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure_minor]
SECOND	wh_dlc03_full_moon_preparations_full_moon_16	1411	wh_dlc03_payload_prep_moon_movement_low	DURATION[3];GLOBAL
SECOND	wh_dlc03_full_moon_preparations_full_moon_17	1414	wh_dlc03_payload_prep_moon_unit_exp_low	DURATION[5];GLOBAL
FIRST	wh_main_grn_wanderin_gits	142	wh_main_payload_event_wanderin_gits_first	DURATION[3]
SECOND	wh_dlc03_full_moon_preparations_full_moon_18	1420	wh_dlc03_payload_prep_moon_unit_exp_low	DURATION[5];GLOBAL
FOURTH	wh_dlc08_nor_monster_hunt_1_dilemma_reward	1421144796	wh_dlc08_dummy_serpent_allegiance	DURATION[0]
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_1_a	1421219074	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]
SECOND	wh_dlc03_full_moon_preparations_full_moon_19	1429	wh_dlc03_payload_prep_moon_unit_exp_low	DURATION[5];GLOBAL
FIRST	wh2_main_dilemma_loyalty_positive_skv_so_so_pretty	1433492704	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
SECOND	wh_dlc03_full_moon_preparations_full_moon_20	1434	wh_dlc03_payload_prep_moon_unit_stats_low	DURATION[3];GLOBAL
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_2_a	1437965769	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure_minor]
THIRD	wh_dlc03_full_moon_preparations_full_moon_1	1439	wh_dlc03_payload_prep_moon_movement_low	DURATION[3];GLOBAL
FIRST	wh2_main_def_names_of_power_co_1_potion	1440119806	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_co_01_blackstone]
FOURTH	wh2_main_dilemma_loyalty_positive_def_the_audience	1440194223	wh2_main_dilemma_loyalty_positive_def_audience_4	DURATION[5]
THIRD	wh2_main_dilemma_loyalty_positive_def_the_audience	1440542841	LOYALTY	AMOUNT[-3]
FOURTH	wh2_dlc08_confederate_wh2_main_nor_skeggi	144257272	TREASURY	AMOUNT[1000]
FIRST	wh2_dlc11_cst_dilemma_ancient_treasure	1444630609	TREASURY	AMOUNT[2000]
FOURTH	wh2_dlc09_agent_choice	1445119089	TREASURY	AMOUNT[3500]
THIRD	wh_dlc03_full_moon_preparations_full_moon_2	1446	wh_dlc03_payload_prep_moon_movement_low	DURATION[3];GLOBAL
SECOND	wh2_dlc09_tmb_dilemma_eternal_servitude	1446854571	FACTION_POOLED_RESOURCE_TRANSACTION	RESOURCE[tmb_canopic_jars];FACTOR[wh2_dlc09_resource_factor_events_negative];AMOUNT[-40]
FIRST	wh2_main_dilemma_encounter_at_sea_3	1448737780	TEXT_DISPLAY	LOOKUP[dummy_wh2_main_combat_encounter]
THIRD	wh_dlc03_full_moon_preparations_full_moon_3	1451	wh_dlc03_payload_prep_moon_movement_low	DURATION[3];GLOBAL
SECOND	wh_dlc08_nor_monster_hunt_1_dilemma_reward	1456863390	wh_dlc08_dummy_eagle_allegiance	DURATION[0]
THIRD	wh_dlc03_full_moon_preparations_full_moon_4	1459	wh_dlc03_payload_prep_moon_movement_low	DURATION[3];GLOBAL
FIRST	wh2_dlc09_tmb_dilemma_stray_mortals	1459536430	wh2_dlc09_payload_dilemma_stray_mortals_first	DURATION[10]
SECOND	wh2_main_lzd_ways_and_means	146037943	wh2_main_lzd_ways_and_means_second	DURATION[6]
FIRST	wh2_main_dilemma_loyalty_skv_skavenslave_revolt_2_b	1461697397	wh_main_effect_campaign_enable_attrition	DURATION[1]
SECOND	wh2_main_dilemma_loyalty_positive_def_a_tribute	1464304119	TREASURY	AMOUNT[5000]
FIRST	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_a	1467100788	wh_main_effect_campaign_enable_attrition	DURATION[1]
SECOND	wh2_dlc11_cst_dilemma_pirate_haven	1468184778	TREASURY	AMOUNT[3000]
THIRD	wh_dlc03_full_moon_preparations_full_moon_5	1469	wh_dlc03_payload_prep_moon_unit_exp_low	DURATION[5];GLOBAL
SECOND	wh_main_grn_wanderin_gits	147	wh_main_payload_migration	DURATION[3]
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_3_a	1470083114	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]
SECOND	wh2_main_def_names_of_power_ca_1_ambush	1471330649	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_ca_02_darkpath]
SECOND	wh2_main_lzd_a_deadly_price	1471351870	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]
THIRD	wh_dlc03_full_moon_preparations_full_moon_6	1474	wh_dlc03_payload_prep_moon_unit_exp_low	DURATION[5];GLOBAL
FIRST	wh_dlc08_nor_monster_hunt_5_dilemma_reward	147566019	wh_dlc08_dummy_crow_allegiance	DURATION[0]
THIRD	wh2_dlc08_confederate_wh_dlc08_nor_vanaheimlings	1476125343	DIPLOMATIC_STANDING	AMOUNT[3]
FIRST	wh2_main_dilemma_loyalty_positive_skv_loyal_musk	1476229447	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_skv_one_eye]
SECOND	wh2_dlc09_tmb_dilemma_glorious_structures	1476666877	wh2_dlc09_payload_dilemma_glorious_structures_second	DURATION[10]
SECOND	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_b	1477687172	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_b_second	DURATION[20]
THIRD	wh_dlc03_full_moon_preparations_full_moon_7	1478	wh_dlc03_payload_prep_moon_unit_exp_low	DURATION[5];GLOBAL
SECOND	wh2_dlc08_confederate_wh_dlc08_nor_naglfarlings	1478928466	DIPLOMATIC_STANDING	AMOUNT[-3]
FIRST	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_b	1479449089	TARGET	EVENT
FIRST	wh2_main_dilemma_loyalty_skv_shades_of_grey_1	148005259	LOYALTY	AMOUNT[1]
THIRD	wh_dlc03_full_moon_preparations_full_moon_8	1482	wh_dlc03_payload_prep_moon_unit_stats_low	DURATION[3];GLOBAL
SECOND	wh_dlc08_nor_prove_their_worth	148313211	wh_dlc08_payload_prove_their_worth_second	DURATION[5]
FIRST	wh2_main_dilemma_encounter_at_sea_3_a	1485372002	TEXT_DISPLAY	LOOKUP[dummy_wh2_main_combat_encounter]
SECOND	wh2_dlc08_confederate_wh_main_nor_varg	1487786120	TEXT_DISPLAY	LOOKUP[dummy_enemy_leader_killed]
SECOND	wh_dlc07_brt_confederation_carcassonne	1488325354	TEXT_DISPLAY	LOOKUP[dummy_confederate_carcassonne]
THIRD	wh_dlc03_full_moon_preparations_full_moon_9	1489	wh_dlc03_payload_prep_moon_unit_stats_low	DURATION[3];GLOBAL
SECOND	wh2_main_hef_intrigue_the_hunt_and_the_hunter	1490467637	INFLUENCE	AMOUNT[18]
FIRST	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1	1491823639	LOYALTY	AMOUNT[1]
FIRST	wh2_main_def_names_of_power_ca_3_siege	1493337978	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_ca_05_leviathanrage]
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_3_b	1493427027	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure]
FIRST	wh2_main_hef_intrigue_court_of_the_sea	1496578382	DIPLOMATIC_STANDING	AMOUNT[1]
SECOND	wh2_main_hef_intrigue_the_hunt_and_the_hunter	1496670350	DIPLOMATIC_STANDING	AMOUNT[-2]
THIRD	wh_dlc03_full_moon_preparations_full_moon_10	1498	wh_dlc03_payload_prep_moon_growth_low	DURATION[6];GLOBAL
FIRST	wh_main_emp_looters	15	wh_main_payload_morale_all	DURATION[5]
THIRD	wh_dlc03_full_moon_preparations_full_moon_11	1500	wh_dlc03_payload_prep_moon_unit_exp_low	DURATION[5];GLOBAL
FIRST	wh2_dlc11_cst_cylostra_the_bordeleaux_flabellum_stage_4	1500814803	TREASURY	AMOUNT[1000]
FIRST	wh_dlc08_nor_archaon_choice	1503503	wh_dlc08_payload_follow_archaon	DURATION[0]
SECOND	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_1	1507221027	TARGET	EVENT
FIRST	wh2_dlc08_confederate_wh_main_nor_bjornling	1507521599	TEXT_DISPLAY	LOOKUP[dummy_confederate_wh_main_nor_bjornling]
THIRD	wh_dlc03_full_moon_preparations_full_moon_12	1509	wh_dlc03_payload_prep_moon_unit_exp_low	DURATION[5];GLOBAL
FIRST	wh2_main_dilemma_loyalty_positive_def_the_beastmaster	1510566198	LOYALTY	AMOUNT[-5]
SECOND	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_2_a	1511640925	TARGET	EVENT
SECOND	wh2_dlc08_confederate_wh_main_nor_bjornling	1513263735	DIPLOMATIC_STANDING	AMOUNT[-3]
THIRD	wh_dlc03_full_moon_preparations_full_moon_13	1514	wh_dlc03_payload_prep_moon_unit_exp_low	DURATION[5];GLOBAL
THIRD	wh_dlc03_full_moon_preparations_full_moon_14	1517	wh_dlc03_payload_prep_moon_unit_stats_low	DURATION[3];GLOBAL
THIRD	wh2_main_hef_intrigue_whispers_of_the_mourning_chorus	1518281206	INFLUENCE	AMOUNT[18]
SECOND	wh2_dlc08_confederate_wh_main_nor_sarl	1519242757	TEXT_DISPLAY	LOOKUP[dummy_enemy_leader_killed]
THIRD	wh_dlc03_full_moon_preparations_full_moon_15	1520	wh_dlc03_payload_prep_moon_unit_stats_low	DURATION[3];GLOBAL
THIRD	wh_dlc03_full_moon_preparations_full_moon_16	1524	wh_dlc03_payload_prep_moon_growth_low	DURATION[6];GLOBAL
SECOND	wh2_dlc11_cst_dilemma_shipping_ledger	1527317474	wh2_dlc11_payload_dilemma_shipping_ledger_second	DURATION[10]
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_3_b	1527635120	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]
FIRST	wh_main_grn_wheres_ma_teef	153	wh_main_payload_event_wheres_ma_teef_first	DURATION[3]
SECOND	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_1	1531728445	TARGET	EVENT
THIRD	wh_dlc03_full_moon_preparations_full_moon_17	1532	wh_dlc03_payload_prep_moon_unit_stats_low	DURATION[3];GLOBAL
THIRD	wh_dlc03_full_moon_preparations_full_moon_18	1534	wh_dlc03_payload_prep_moon_unit_stats_low	DURATION[3];GLOBAL
THIRD	wh2_main_dilemma_loyalty_positive_def_insurgents	1536244790	CHARACTER_EXPERIENCE	AMOUNT[750]
THIRD	wh_dlc03_full_moon_preparations_full_moon_19	1541	wh_dlc03_payload_prep_moon_growth_low	DURATION[6];GLOBAL
SECOND	wh_dlc07_brt_confederation_bastonne	1541774002	TEXT_DISPLAY	LOOKUP[dummy_confederate_bastonne]
FIRST	wh_dlc07_brt_confederation_bastonne	1543905095	TEXT_DISPLAY	LOOKUP[dummy_confederate_bastonne]
THIRD	wh_dlc03_full_moon_preparations_full_moon_20	1545	wh_dlc03_payload_prep_moon_growth_low	DURATION[6];GLOBAL
SECOND	wh2_main_hef_intrigue_life_in_the_lagoon	1549853012	wh2_main_payload_public_order_positive_all_province_factionwide	DURATION[5]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_1	1554	wh_dlc03_payload_prep_moon_unit_exp_low	DURATION[5];GLOBAL
FIRST	wh2_main_dilemma_loyalty_def_contest_of_claws_1	1558530638	TARGET	EVENT
SECOND	wh2_main_dilemma_loyalty_positive_def_the_alchemist	1560666053	LOYALTY	AMOUNT[2]
SECOND	wh2_main_dilemma_loyalty_positive_def_the_curse_of_kurnous	1561693663	WOUND_CHARACTER	
SECOND	wh2_main_dilemma_loyalty_positive_def_the_beastmaster	156219821	LOYALTY	AMOUNT[2]
FOURTH	wh_dlc08_nor_monster_hunt_6_dilemma_reward	1562352270	wh_dlc08_dummy_serpent_allegiance	DURATION[0]
THIRD	wh2_main_dilemma_loyalty_positive_def_the_statue	1562817322	wh2_main_dilemma_loyalty_positive_def_statue_3	DURATION[8]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_2	1564	wh_dlc03_payload_prep_moon_unit_stats_low	DURATION[3];GLOBAL
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_1_b	1565295115	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure_minor]
SECOND	wh2_main_hef_intrigue_in_fighting	1567960673	wh2_main_hef_intrigue_in_fighting_second	DURATION[5]
SECOND	wh2_dlc09_tmb_dilemma_scaly_sacrifice	1571296384	FACTION_POOLED_RESOURCE_TRANSACTION	RESOURCE[tmb_canopic_jars];FACTOR[wh2_dlc09_resource_factor_events_negative];AMOUNT[-40]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_3	1572	wh_dlc03_payload_prep_moon_growth_low	DURATION[6];GLOBAL
SECOND	wh2_dlc09_agent_choice	1573104158	SPAWN_AGENT	AGENT[engineer];AP_FACTOR[1.0]
SECOND	wh2_main_dilemma_loyalty_def_black_council_1	1573924635	LOYALTY	AMOUNT[-1]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_4	1575	wh_dlc03_payload_prep_moon_recruit_cost_low	DURATION[3];GLOBAL
FOURTH	wh_dlc03_full_moon_preparations_full_moon_5	1576	wh_dlc03_payload_prep_moon_unit_stats_low	DURATION[3];GLOBAL
FIRST	wh2_main_dilemma_loyalty_def_black_council_1	1577940160	TARGET	EVENT
FOURTH	wh_dlc03_full_moon_preparations_full_moon_6	1578	wh_dlc03_payload_prep_moon_growth_low	DURATION[6];GLOBAL
THIRD	wh2_main_dilemma_loyalty_positive_skv_a_noise_problem	1578893146	wh2_main_dilemma_loyalty_positive_skv_noise_problem_3	DURATION[10]
SECOND	wh2_main_dilemma_loyalty_def_black_dragon_egg_1	1579632863	TARGET	EVENT
SECOND	wh_main_grn_wheres_ma_teef	158	wh_main_payload_event_wheres_ma_teef_second	DURATION[3]
SECOND	wh2_main_def_names_of_power_ca_3_siege	1580186412	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_ca_11_gatesmiter]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_7	1582	wh_dlc03_payload_prep_moon_recruit_cost_low	DURATION[3];GLOBAL
THIRD	wh2_main_hef_intrigue_the_hunt_and_the_hunter	1583543901	INFLUENCE	AMOUNT[20]
FIRST	wh2_dlc11_dilemma_neo_encounter_at_sea_2_a	1591355454	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_8	1592	wh_dlc03_payload_prep_moon_growth_low	DURATION[6];GLOBAL
SECOND	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3	1596434408	GIVE_TRAIT	TRAIT_KEY[wh2_dlc09_trait_merciless]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_9	1599	wh_dlc03_payload_prep_moon_recruit_cost_low	DURATION[3];GLOBAL
SECOND	wh2_dlc11_dilemma_neo_encounter_at_sea_3_c	1599902055	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure_minor]
FIRST	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_2_a	1600485145	LOYALTY	AMOUNT[1]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_10	1605	wh_dlc03_payload_prep_moon_recruit_cost_low	DURATION[3];GLOBAL
FIRST	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1	1605134513	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1_a_first_all_morale_down	DURATION[20]
SECOND	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_b	1605834881	LOYALTY	AMOUNT[-1]
FIRST	wh2_dlc08_confederate_wh_main_nor_baersonling	160696621	TEXT_DISPLAY	LOOKUP[dummy_confederate_wh_main_nor_baersonling]
FIRST	wh_dlc08_nor_the_dying_skald	16074650	wh_dlc08_payload_the_dying_skald_first	DURATION[15]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_11	1610	wh_dlc03_payload_prep_moon_unit_stats_low	DURATION[3];GLOBAL
FOURTH	wh_dlc03_full_moon_preparations_full_moon_12	1611	wh_dlc03_payload_prep_moon_growth_low	DURATION[6];GLOBAL
SECOND	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_1	1611166291	TREASURY	AMOUNT[2500]
SECOND	wh2_main_dilemma_loyalty_positive_skv_item_of_power	1612506660	TREASURY	AMOUNT[3000]
FIRST	wh2_dlc09_tmb_dilemma_the_banisher	1614319440	wh2_dlc09_payload_dilemma_the_banisher_first	DURATION[10]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_13	1615	wh_dlc03_payload_prep_moon_recruit_cost_low	DURATION[3];GLOBAL
FOURTH	wh_dlc03_full_moon_preparations_full_moon_14	1617	wh_dlc03_payload_prep_moon_growth_low	DURATION[6];GLOBAL
FOURTH	wh_dlc03_full_moon_preparations_full_moon_15	1619	wh_dlc03_payload_prep_moon_recruit_cost_low	DURATION[3];GLOBAL
FIRST	wh2_main_dilemma_loyalty_def_dark_crag_1	1619927855	LOYALTY	AMOUNT[1]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_16	1622	wh_dlc03_payload_prep_moon_recruit_cost_low	DURATION[3];GLOBAL
SECOND	wh_dlc07_brt_confederation_bordeleaux	1624223793	TREASURY	AMOUNT[-7500]
SECOND	wh2_main_hef_intrigue_the_court_of_many_kings	1624390670	wh2_main_payload_public_order_positive_all_province	DURATION[5]
SECOND	wh2_dlc09_tmb_dilemma_lost_tombs	1627462797	TREASURY	AMOUNT[2500]
SECOND	wh2_dlc09_tmb_dilemma_soulless_sphinx	162926290	wh2_dlc09_payload_dilemma_soulless_sphinx_second	DURATION[10]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_17	1632	wh_dlc03_payload_prep_moon_growth_low	DURATION[6];GLOBAL
FIRST	wh2_main_dilemma_loyalty_def_stitch_up_1	1635320827	TREASURY	AMOUNT[-2500]
FIRST	wh2_dlc11_cst_dilemma_pirate_haven	1635560948	wh2_dlc11_payload_dilemma_pirate_haven_first	DURATION[15]
SECOND	wh2_main_dilemma_loyalty_positive_def_the_alchemist	1637595390	CHARACTER_EXPERIENCE	AMOUNT[750]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_18	1640	wh_dlc03_payload_prep_moon_recruit_cost_low	DURATION[3];GLOBAL
FIRST	wh2_main_dilemma_loyalty_positive_skv_clawback_provision	164310822	LOYALTY	AMOUNT[-6]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_19	1644	wh_dlc03_payload_prep_moon_recruit_cost_low	DURATION[3];GLOBAL
SECOND	wh2_main_dilemma_loyalty_def_black_dragon_egg_1	1645269762	CHARACTER_EXPERIENCE	AMOUNT[2000]
FIRST	wh2_main_hef_intrigue_the_court_of_many_kings	1645642036	INFLUENCE	AMOUNT[28]
SECOND	wh2_dlc08_confederate_wh_dlc08_nor_goromadny_tribe	1647541969	DIPLOMATIC_STANDING	AMOUNT[-3]
FOURTH	wh_dlc03_full_moon_preparations_full_moon_20	1648	wh_dlc03_payload_prep_moon_recruit_cost_low	DURATION[3];GLOBAL
SECOND	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a	1648004116	TARGET	EVENT
THIRD	wh2_main_dilemma_loyalty_positive_def_a_tribute	1648488638	wh2_main_dilemma_loyalty_positive_def_tribute_3	DURATION[8]
SECOND	wh2_dlc10_nor_monster_hunt_10_dilemma_reward	1652463057	wh_dlc08_dummy_eagle_allegiance	DURATION[0]
FIRST	wh2_main_lzd_knowledge_regained	1652798595	TREASURY	AMOUNT[-1000]
SECOND	wh2_main_def_names_of_power_co_2_dragon	1656974914	GIVE_TRAIT	TRAIT_KEY[wh2_main_trait_def_name_of_power_co_11_drakecleaver]
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_1	1658	wh_dlc03_payload_prep_moon_bestial_rage_medium	DURATION[3];GLOBAL
