frontend_faction_effect_junctions_tables	1
effect	group	value	scope
wh_dlc05_effect_agent_recruitment_cost_mod_champion_wood_elves	wh2_main_durthu_faction	-50	faction_to_province_own_unseen
wh_dlc05_effect_durthu_amber	wh2_main_durthu_faction	1	faction_to_faction_own_unseen
wh_dlc05_effect_force_army_battle_melee_attack_during_forest	wh2_main_durthu_faction	10	faction_to_force_own_unseen
wh2_dlc11_effect_charge_increase_wef_treespirits	wh2_main_durthu_leader	10	general_to_force_own
wh_dlc05_durthu_trait_effect_attrition_immunity	wh2_main_durthu_leader	1	general_to_force_own_unseen
wh_dlc05_effect_tech_upkeep_reduction_treespirits	wh2_main_durthu_leader	-30	general_to_force_own
wh_dlc07_effect_dummy_start_peasants	wh2_main_fay_enchantress_faction	5	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_replenishment_rate	wh2_main_fay_enchantress_faction	15	faction_to_force_own_unseen
wh_dlc07_effect_chivalry_dummy	wh2_main_fay_enchantress_leader	10	character_to_faction_unseen
wh_dlc07_upkeep_for_grail_guardians_dummy	wh2_main_fay_enchantress_leader	200	faction_to_faction_own_unseen
wh_main_effect_ability_enable_blessing_of_the_lady	wh2_main_fay_enchantress_leader	1	character_to_character_own
wh_main_effect_unit_enable_attribute_fear	wh2_main_fay_enchantress_leader	1	character_to_character_own
wh_main_effect_agent_movement_range_mod	wh2_main_grimgor_faction	10	faction_to_character_own
wh_main_effect_force_army_campaign_military_morale_add_enemy_territory	wh2_main_grimgor_faction	1	faction_to_force_own
wh_main_effect_tech_upkeep_reduction_black_orcs_big_uns	wh2_main_grimgor_faction	-15	faction_to_force_own_unseen
wh_main_effect_force_all_campaign_post_battle_loot_mod	wh2_main_grimgor_leader	30	character_to_character_own
wh_main_effect_tech_armour_increase_black_orcs	wh2_main_grimgor_leader	10	general_to_force_own
wh_main_effect_tech_battle_morale_increase_black_orcs	wh2_main_grimgor_leader	12	general_to_force_own
wh2_dlc10_effect_bonus_melee_attack_fighting_against_any_elves_character	wh2_main_grombrindal_faction	20	faction_to_force_own
wh_main_effect_force_army_campaign_tunnelling_evasion_chance	wh2_main_grombrindal_faction	60	faction_to_character_own
wh_pro01_effect_grombrindal_dillema_dummy	wh2_main_grombrindal_faction	1	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_reinforcement_range	wh2_main_grombrindal_leader	50	character_to_character_own_armytext
wh_main_effect_force_unit_stat_morale	wh2_main_grombrindal_leader	10	general_to_force_own
wh2_dlc09_tmb_lord_trait_khatep_climate_dummy	wh2_main_heinrich_faction	1	faction_to_faction_own_unseen
wh2_dlc11_culture_diplomacy_choas	wh2_main_heinrich_faction	30	faction_to_faction_own_unseen
wh_main_effect_tech_upkeep_reduction_necromancers	wh2_main_heinrich_faction	-50	faction_to_force_own_unseen
wh2_dlc11_effect_force_army_campaign_attrition_immunity_land_of_living	wh2_main_heinrich_leader	1	general_to_force_own_unseen
wh_main_effect_agent_recruitment_xp_wizard_vampire_counts	wh2_main_heinrich_leader	2	character_to_province_own
wh_main_effect_krell_dummy	wh2_main_heinrich_leader	1	faction_to_faction_own_unseen
wh2_dlc11_effect_charge_increase_corpse_cart	wh2_main_helman_ghorst_faction	12	faction_to_force_own_unseen
wh2_dlc11_effect_unit_xp_levels_corpse_cart	wh2_main_helman_ghorst_faction	3	faction_to_character_own_unseen
wh_dlc03_effect_technology_research_points	wh2_main_helman_ghorst_faction	30	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_replenishment_rate	wh2_main_helman_ghorst_faction	20	faction_to_force_own_unseen
wh_main_effect_character_stat_enable_poison_attacks_dummy	wh2_main_helman_ghorst_leader	1	faction_to_army_own_unseen
wh2_dlc11_vmp_blood_kiss_faction_effect_dummy	wh2_main_isabella_faction	1	faction_to_faction_own_unseen
wh_main_effect_agent_cap_increase_dignitary_vampire	wh2_main_isabella_faction	3	faction_to_faction_own_unseen
wh_pro02_effect_vampire_heroes_damage	wh2_main_isabella_faction	25	faction_to_force_own_unseen
wh_pro02_faction_trait_isabella_vlad_unique_building	wh2_main_isabella_faction	1	faction_to_character_own_unseen
wh_pro02_effect_vampire_heroes_isabella_trait_attack	wh2_main_isabella_leader	10	general_to_force_own
wh_pro02_effect_vampire_heroes_isabella_trait_defence	wh2_main_isabella_leader	10	general_to_force_own
wh_pro02_faction_trait_isabella_vlad_dummy	wh2_main_isabella_leader	15	faction_to_character_own_unseen
wh_main_effect_agent_movement_range_mod	wh2_main_karl_franz_faction	10	faction_to_character_own
wh_main_effect_tech_upkeep_reduction_reiksguard_greatswords	wh2_main_karl_franz_faction	-15	faction_to_force_own_unseen
wh_main_faction_diplomacy_penalty_empire	wh2_main_karl_franz_faction	10	faction_to_faction_own_unseen
wh_main_faction_xp_increase_generals	wh2_main_karl_franz_faction	2	faction_to_province_own_unseen
wh_main_effect_force_unit_stat_morale	wh2_main_karl_franz_leader	8	general_to_force_own
wh_dlc03_effect_charge_bonus_bestigors	wh2_main_khazrak_faction	10	faction_to_force_own_unseen
wh_main_effect_force_all_campaign_raid_income	wh2_main_khazrak_faction	40	faction_to_force_own_unseen
wh_main_effect_force_unit_stat_morale_versus_men	wh2_main_khazrak_faction	10	faction_to_force_own_unseen
wh2_dlc11_effect_upkeep_reduction_bestigor	wh2_main_khazrak_leader	-30	general_to_force_own
wh_dlc03_effect_lord_recruitment_duration_bestigors	wh2_main_khazrak_leader	-1	general_to_force_own
wh_dlc03_effect_tech_recruitment_cost_reduction_bestigors	wh2_main_khazrak_leader	-50	general_to_force_own
wh_dlc03_effect_tech_unit_xp_levels_bestigors	wh2_main_khazrak_leader	3	general_to_force_own
wh_main_effect_force_army_campaign_ambush_defence_success_chance	wh2_main_kholek_faction	-20	faction_to_force_own_unseen
wh_main_effect_religion_conversion_chaos	wh2_main_kholek_faction	4	faction_to_character_own
wh_main_effect_tech_recruitment_cost_reduction_dragon_ogres	wh2_main_kholek_faction	-60	faction_to_force_own_unseen
wh_main_effect_tech_melee_attack_increase_dragon_ogre_saggoths	wh2_main_kholek_leader	10	general_to_force_own
wh_main_effect_tech_upkeep_reduction_dragon_ogres	wh2_main_kholek_leader	-30	general_to_force_own
wh2_main_effect_faction_trait_cost_reduction_lzd_all	wh2_main_kroq_gar_faction	-10	faction_to_force_own_unseen
wh2_main_effect_armour_increase_dinosaurs	wh2_main_kroq_gar_leader	20	general_to_force_own
wh2_main_effect_morale_increase_dinosaurs	wh2_main_kroq_gar_leader	10	general_to_force_own
wh2_main_effect_upkeep_reduction_lzd_saurus_coldones	wh2_main_kroq_gar_leader	-50	general_to_force_own
wh_main_effect_force_army_campaign_ambush_attack_success_chance	wh2_main_kroq_gar_leader	25	general_to_force_own
wh_main_effect_force_unit_stat_morale	wh2_main_kroq_gar_leader	10	general_to_force_own
wh_dlc07_effect_general_aura_mod_all_during_attack	wh2_main_louen_leoncoeur_faction	50	faction_to_character_own_unseen
wh_main_effect_agent_movement_range_mod	wh2_main_louen_leoncoeur_faction	10	faction_to_character_own
wh2_dlc11_effect_bonus_melee_attack_fighting_against_bretonnia_enemies	wh2_main_louen_leoncoeur_leader	8	general_to_force_own
wh2_dlc11_effect_bonus_morale_fighting_against_bretonnia_enemies	wh2_main_louen_leoncoeur_leader	12	general_to_force_own
wh_dlc07_effect_chivalry_dummy	wh2_main_louen_leoncoeur_leader	10	character_to_faction_unseen
wh_dlc07_lord_trait_dummy_grail_vow	wh2_main_louen_leoncoeur_leader	1	faction_to_faction_own_unseen
wh_main_effect_ability_enable_blessing_of_the_lady	wh2_main_louen_leoncoeur_leader	1	character_to_character_own
wh_dlc03_effect_agent_cap_increase_wizard_beastmen	wh2_main_malagor_faction	2	faction_to_faction_own_unseen
wh_main_effect_agent_movement_range_mod	wh2_main_malagor_faction	10	faction_to_character_own_unseen
wh_main_effect_hordebuilding_growth_characters	wh2_main_malagor_faction	2	faction_to_force_own
wh_main_faction_diplomacy_bonus_beastmen	wh2_main_malagor_faction	30	faction_to_faction_own_unseen
wh2_dlc11_effect_force_all_enemy_campaign_replenishment_rate	wh2_main_malagor_leader	-8	character_to_force_enemy_provincewide
wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen	wh2_main_malagor_leader	3	general_to_force_own
wh_main_effect_force_army_battle_enemy_unit_morale	wh2_main_malagor_leader	-8	character_to_force_enemy_provincewide
wh2_main_effect_character_mod_loyalty_all	wh2_main_malekith_faction	2	faction_to_faction_own_unseen
wh2_main_effect_loyalty_penalty_faction_leader_outranked_dummy	wh2_main_malekith_faction	3	faction_to_faction_own_unseen
wh2_main_effect_percentage_of_xp_to_give_other_characters_of_same_type_dummy	wh2_main_malekith_faction	3	faction_to_character_own_unseen
wh2_main_faction_trait_diplomacy_bonus_morathi	wh2_main_malekith_faction	30	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_malekith_witch_king	wh2_main_malekith_leader	-50	general_to_force_own
wh2_dlc11_vmp_blood_kiss_faction_effect_dummy	wh2_main_mannfred_faction	1	faction_to_faction_own_unseen
wh_main_effect_agent_movement_range_mod	wh2_main_mannfred_faction	10	faction_to_character_own
wh_main_effect_tech_unit_xp_levels_graveguard_black_knights	wh2_main_mannfred_faction	2	faction_to_force_own_unseen
wh_main_effect_tech_upkeep_reduction_black_knights_grave_guard	wh2_main_mannfred_faction	-15	faction_to_force_own_unseen
wh_main_effect_force_unit_stat_morale_versus_men	wh2_main_mannfred_leader	10	general_to_force_own
wh_main_effect_military_force_winds_of_magic_depletion_mod_character	wh2_main_mannfred_leader	30	character_to_force_own_unseen
wh2_main_effect_agent_cap_increase_lzd_slann	wh2_main_mazdamundi_faction	1	faction_to_faction_own_unseen
wh2_main_effect_building_construction_cost_mod_lzd_starchamber	wh2_main_mazdamundi_faction	-50	faction_to_region_own_unseen
wh2_main_faction_trait_diplomacy_penalty_mazdamundi	wh2_main_mazdamundi_faction	-10	faction_to_faction_own_unseen
wh2_main_faction_trait_ritual_cost_mazdamundi	wh2_main_mazdamundi_faction	-30	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_lzd_temple_guard	wh2_main_mazdamundi_leader	-50	general_to_force_own
wh2_dlc09_diplomatic_relations_exiles_of_nehek	wh2_main_morathi_faction	-40	faction_to_faction_own_unseen
wh2_dlc11_effect_upkeep_reduction_def_agents	wh2_main_morathi_faction	-50	faction_to_force_own_unseen
wh2_main_effect_attrition_immunity_chaos_morathi_textonly	wh2_main_morathi_faction	1	faction_to_faction_own_unseen
wh2_main_faction_political_diplomacy_mod_darkelves	wh2_main_morathi_faction	20	faction_to_faction_own_unseen
wh_main_effect_agent_action_cost_mod	wh2_main_morathi_faction	-50	faction_to_character_own_unseen
wh_main_effect_building_construction_cost_mod_sorcery_def	wh2_main_morathi_faction	-25	faction_to_region_own_unseen
wh_main_effect_religion_conversion_chaos	wh2_main_morathi_faction	1	faction_to_character_own
wh2_main_effect_character_mod_loyalty_regional	wh2_main_morathi_leader	2	character_to_character_regionwide_local_region
wh_dlc03_effect_building_upkeep_reduction_minotaurs	wh2_main_morghur_faction	30	faction_to_force_own_unseen
wh_main_effect_building_upkeep_reduction_chaos_spawn	wh2_main_morghur_faction	-30	faction_to_force_own_unseen
wh_main_effect_religion_conversion_chaos	wh2_main_morghur_faction	3	faction_to_character_own
wh_dlc03_effect_force_army_campaign_attrition_chaos_territory	wh2_main_morghur_leader	12	character_to_force_enemy_provincewide
wh_dlc03_effect_force_ward_save_missile_spawn	wh2_main_morghur_leader	20	general_to_force_own
wh_dlc05_morghur_trait_immortalitiy	wh2_main_morghur_leader	-100	character_to_character_own
wh_main_effect_tech_melee_defence_increase_chaos_spawns	wh2_main_morghur_leader	8	general_to_force_own
wh2_dlc11_effect_upkeep_reduction_wef_cavalry	wh2_main_orion_faction	-15	faction_to_force_own_unseen
wh_dlc05_effect_bonus_leadership_when_in_forest	wh2_main_orion_faction	10	faction_to_force_own_unseen
wh_dlc05_effect_orion_amber	wh2_main_orion_faction	1	faction_to_faction_own_unseen
wh_dlc05_effect_orion_wild_hunt_dummy	wh2_main_orion_faction	1	faction_to_faction_own_unseen
wh2_dlc11_effect_charge_bonus_increase_wild_riders	wh2_main_orion_leader	8	general_to_force_own
wh2_dlc11_effect_weapon_strength_increase_wild_riders	wh2_main_orion_leader	20	general_to_force_own
wh2_main_effect_character_mod_loyalty_grey_seers	wh2_main_queek_faction	-2	faction_to_faction_own_unseen
wh2_main_effect_percentage_of_xp_to_steal_from_characters_of_same_type_dummy	wh2_main_queek_faction	1	faction_to_character_own_unseen
wh2_main_effect_ability_army_num_uses_the_menace_below_queek	wh2_main_queek_leader	1	character_to_force_own_unseen
wh2_main_effect_character_stat_mod_melee_attack_versus_dwarfs_greenskins	wh2_main_queek_leader	10	character_to_character_own
wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs_greenskins	wh2_main_queek_leader	10	character_to_character_own
wh2_main_effect_faction_trait_upkeep_reduction_skv_stormvermin_clanrats	wh2_main_queek_leader	-50	general_to_force_own
wh_dlc07_effect_tech_armour_increase_bretonnia_characters	wh2_main_sigvald_faction	15	faction_to_force_own_unseen
wh_main_effect_force_unit_stat_morale_versus_men	wh2_main_sigvald_faction	15	faction_to_force_own_unseen
wh_main_faction_diplomacy_penalty_norsca	wh2_main_sigvald_faction	20	faction_to_faction_own_unseen
wh_main_effect_building_upkeep_reduction_chaos_marauders	wh2_main_sigvald_leader	-60	general_to_force_own
wh_main_effect_hordebuilding_growth_characters	wh2_main_sigvald_leader	3	general_to_force_own
wh_main_effect_tech_unit_xp_levels_marauders	wh2_main_sigvald_leader	3	general_to_force_own
wh_dlc06_effect_faction_effect_agent_dummy	wh2_main_skarsnik_faction	-50	faction_to_character_own_unseen
wh_dlc06_effect_faction_effect_building_bonus_dummy	wh2_main_skarsnik_faction	1	faction_to_force_own_unseen
wh_dlc06_effect_faction_effect_night_goblins_dummy	wh2_main_skarsnik_faction	-40	faction_to_force_own_unseen
wh_dlc06_effect_faction_effect_orc_recruitment_dummy	wh2_main_skarsnik_faction	-1	faction_to_force_own_unseen
wh2_dlc11_effect_charge_increase_squig_hoppers	wh2_main_skarsnik_leader	14	general_to_force_own
wh_main_effect_conquest_enable_night_battles	wh2_main_skarsnik_leader	1	character_to_character_own
wh2_main_effect_building_construction_cost_mod_skv_plague_temple_chain	wh2_main_skrolk_faction	-50	faction_to_region_own_unseen
wh2_main_faction_trait_ritual_cost_skrolk	wh2_main_skrolk_faction	-75	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_skv_plague_units	wh2_main_skrolk_leader	-50	general_to_force_own
wh_main_effect_religion_conversion_skaven	wh2_main_skrolk_leader	3	character_to_character_own_provincetext
wh2_main_effect_agent_recruitment_xp_hef_mage	wh2_main_teclis_faction	5	faction_to_province_own_unseen
wh2_main_effect_diplomacy_bonus_humans_elves	wh2_main_teclis_faction	10	faction_to_faction_own_unseen
wh_main_effect_ability_enable_fireball	wh2_main_teclis_leader	1	character_to_character_own
wh_main_effect_military_force_winds_of_magic_depletion_mod_character	wh2_main_teclis_leader	30	character_to_force_own_unseen
wh_main_effect_building_construction_cost_mod_recruitment	wh2_main_thorgrim_faction	-25	faction_to_region_own_unseen
wh_main_effect_tech_unit_xp_levels_hammerers	wh2_main_thorgrim_faction	3	faction_to_character_own_unseen
wh_main_effect_tech_upkeep_cost_reduction_longbeards_hammerers	wh2_main_thorgrim_faction	-15	faction_to_force_own_unseen
wh_main_faction_diplomacy_penalty_dwarfs	wh2_main_thorgrim_faction	20	faction_to_faction_own_unseen
wh_main_effect_character_stat_mod_personal_aura_morale_effect	wh2_main_thorgrim_leader	8	character_to_character_own
wh_main_effect_character_stat_mod_personal_aura_size	wh2_main_thorgrim_leader	75	character_to_character_own
wh2_dlc11_effect_building_construction_time_mod_shrine_of_khaine_dummy	wh2_main_tyrion_faction	-50	faction_to_region_own_unseen
wh2_main_effect_trait_unit_recruitment_duration_hef_infantry_cavalry	wh2_main_tyrion_faction	-1	faction_to_province_own_unseen
wh2_main_faction_political_diplomacy_mod_highelves	wh2_main_tyrion_faction	20	faction_to_faction_own_unseen
wh2_main_effect_tech_unit_xp_levels_hef_sea_guard	wh2_main_tyrion_leader	3	general_to_force_own
wh2_main_effect_upkeep_reduction_hef_spearmen_archers_silverhelms	wh2_main_tyrion_leader	-50	general_to_force_own
wh2_dlc11_effect_building_construction_mod_slayer	wh2_main_ungrim_faction	-75	faction_to_region_own_unseen
wh2_main_climate_suitable_frozen_1_dummy	wh2_main_ungrim_faction	1	faction_to_faction_own_unseen
wh_main_effect_tech_movement_speed_infantry	wh2_main_ungrim_faction	10	faction_to_force_own_unseen
wh_main_effect_tech_recruitment_cost_reduction_slayers	wh2_main_ungrim_faction	-50	faction_to_force_own_unseen
wh2_dlc11_effect_force_slayer_campaign_replenishment_rate	wh2_main_ungrim_leader	30	general_to_force_own
wh_main_effect_tech_melee_attack_increase_slayers	wh2_main_ungrim_leader	10	general_to_force_own
wh_main_effect_tech_upkeep_cost_reduction_slayers	wh2_main_ungrim_leader	-25	general_to_force_own
wh2_dlc11_vmp_blood_kiss_faction_effect_dummy	wh2_main_vlad_faction	1	faction_to_faction_own_unseen
wh_main_effect_agent_movement_range_mod	wh2_main_vlad_faction	10	faction_to_character_own
wh_pro02_faction_trait_isabella_vlad_unique_building	wh2_main_vlad_faction	1	faction_to_character_own_unseen
wh_dlc04_effect_unit_enable_can_siege_dummy	wh2_main_vlad_leader	1	character_to_character_own
wh_main_effect_unit_enable_attribute_guerrilla_deployment_dummy	wh2_main_vlad_leader	1	general_to_force_own
wh_pro02_faction_trait_isabella_vlad_dummy	wh2_main_vlad_leader	15	character_to_character_own
wh_dlc04_effect_tech_melee_damage_increase_flagellants	wh2_main_volkmar_faction	30	faction_to_force_own_unseen
wh_dlc04_effect_tech_upkeep_reduction_flagellants	wh2_main_volkmar_faction	-30	faction_to_force_own_unseen
wh_main_effect_agent_recruitment_xp_dignitary_empire	wh2_main_volkmar_faction	2	faction_to_province_own_unseen
wh_main_effect_character_mod_ancillary_drop	wh2_main_volkmar_faction	20	faction_to_character_own_unseen
wh2_dlc11_effect_force_flagellants_campaign_replenishment_rate	wh2_main_volkmar_leader	30	general_to_force_own
wh2_dlc11_effect_force_ward_save_physical	wh2_main_volkmar_leader	12	general_to_force_own
wh_dlc04_effect_force_melee_defence_increase_flagellants	wh2_main_volkmar_leader	14	general_to_force_own
wh2_main_effect_faction_trait_cost_reduction_lzd_all	wh2_main_vor_kroq_gar_faction	-10	faction_to_force_own_unseen
wh2_main_effect_armour_increase_dinosaurs	wh2_main_vor_kroq_gar_leader	20	general_to_force_own
wh2_main_effect_morale_increase_dinosaurs	wh2_main_vor_kroq_gar_leader	10	general_to_force_own
wh2_main_effect_upkeep_reduction_lzd_saurus_coldones	wh2_main_vor_kroq_gar_leader	-50	general_to_force_own
wh_main_effect_force_army_campaign_ambush_attack_success_chance	wh2_main_vor_kroq_gar_leader	25	general_to_force_own
wh_main_effect_force_unit_stat_morale	wh2_main_vor_kroq_gar_leader	10	general_to_force_own
wh2_main_effect_character_mod_loyalty_all	wh2_main_vor_malekith_faction	2	faction_to_faction_own_unseen
wh2_main_effect_loyalty_penalty_faction_leader_outranked_dummy	wh2_main_vor_malekith_faction	3	faction_to_faction_own_unseen
wh2_main_effect_percentage_of_xp_to_give_other_characters_of_same_type_dummy	wh2_main_vor_malekith_faction	3	faction_to_character_own_unseen
wh2_main_faction_trait_diplomacy_bonus_morathi	wh2_main_vor_malekith_faction	30	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_malekith_witch_king	wh2_main_vor_malekith_leader	-50	general_to_force_own
wh2_main_effect_agent_cap_increase_lzd_slann	wh2_main_vor_mazdamundi_faction	1	faction_to_faction_own_unseen
wh2_main_effect_building_construction_cost_mod_lzd_starchamber	wh2_main_vor_mazdamundi_faction	-50	faction_to_region_own_unseen
wh2_main_faction_trait_diplomacy_penalty_mazdamundi	wh2_main_vor_mazdamundi_faction	-10	faction_to_faction_own_unseen
wh2_main_faction_trait_ritual_cost_mazdamundi	wh2_main_vor_mazdamundi_faction	-30	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_lzd_temple_guard	wh2_main_vor_mazdamundi_leader	-50	general_to_force_own
wh2_dlc09_diplomatic_relations_exiles_of_nehek	wh2_main_vor_morathi_faction	-40	faction_to_faction_own_unseen
wh2_dlc11_effect_upkeep_reduction_def_agents	wh2_main_vor_morathi_faction	-50	faction_to_force_own_unseen
wh2_main_effect_attrition_immunity_chaos_morathi_textonly	wh2_main_vor_morathi_faction	1	faction_to_faction_own_unseen
wh2_main_faction_political_diplomacy_mod_darkelves	wh2_main_vor_morathi_faction	20	faction_to_faction_own_unseen
wh_main_effect_agent_action_cost_mod	wh2_main_vor_morathi_faction	-50	faction_to_character_own_unseen
wh_main_effect_building_construction_cost_mod_sorcery_def	wh2_main_vor_morathi_faction	-25	faction_to_region_own_unseen
wh_main_effect_religion_conversion_chaos	wh2_main_vor_morathi_faction	1	faction_to_character_own
wh2_main_effect_character_mod_loyalty_regional	wh2_main_vor_morathi_leader	2	character_to_character_regionwide_local_region
wh2_main_effect_character_mod_loyalty_grey_seers	wh2_main_vor_queek_faction	-2	faction_to_faction_own_unseen
wh2_main_effect_percentage_of_xp_to_steal_from_characters_of_same_type_dummy	wh2_main_vor_queek_faction	1	faction_to_character_own_unseen
wh2_main_effect_ability_army_num_uses_the_menace_below_queek	wh2_main_vor_queek_leader	1	character_to_force_own_unseen
wh2_main_effect_character_stat_mod_melee_attack_versus_dwarfs_greenskins	wh2_main_vor_queek_leader	10	character_to_character_own
wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs_greenskins	wh2_main_vor_queek_leader	10	character_to_character_own
wh2_main_effect_faction_trait_upkeep_reduction_skv_stormvermin_clanrats	wh2_main_vor_queek_leader	-50	general_to_force_own
wh2_main_effect_building_construction_cost_mod_skv_plague_temple_chain	wh2_main_vor_skrolk_faction	-50	faction_to_region_own_unseen
wh2_main_faction_trait_ritual_cost_skrolk	wh2_main_vor_skrolk_faction	-75	faction_to_faction_own_unseen
wh2_main_effect_upkeep_reduction_skv_plague_units	wh2_main_vor_skrolk_leader	-50	general_to_force_own
wh_main_effect_religion_conversion_skaven	wh2_main_vor_skrolk_leader	3	character_to_character_own_provincetext
wh2_main_effect_agent_recruitment_xp_hef_mage	wh2_main_vor_teclis_faction	5	faction_to_province_own_unseen
wh2_main_effect_diplomacy_bonus_humans_elves	wh2_main_vor_teclis_faction	10	faction_to_faction_own_unseen
wh_main_effect_ability_enable_fireball	wh2_main_vor_teclis_leader	1	character_to_character_own
wh_main_effect_military_force_winds_of_magic_depletion_mod_character	wh2_main_vor_teclis_leader	30	character_to_force_own_unseen
wh2_dlc11_effect_building_construction_time_mod_shrine_of_khaine_dummy	wh2_main_vor_tyrion_faction	-50	faction_to_region_own_unseen
wh2_main_effect_trait_unit_recruitment_duration_hef_infantry_cavalry	wh2_main_vor_tyrion_faction	-1	faction_to_province_own_unseen
wh2_main_faction_political_diplomacy_mod_highelves	wh2_main_vor_tyrion_faction	20	faction_to_faction_own_unseen
wh2_main_effect_tech_unit_xp_levels_hef_sea_guard	wh2_main_vor_tyrion_leader	3	general_to_force_own
wh2_main_effect_upkeep_reduction_hef_spearmen_archers_silverhelms	wh2_main_vor_tyrion_leader	-50	general_to_force_own
wh_dlc06_effect_charge_increase_savage_orcs	wh2_main_wurrzag_faction	25	faction_to_force_own_unseen
wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy	wh2_main_wurrzag_faction	-50	faction_to_character_own_unseen
wh_dlc06_effect_character_stat_mod_ward_save_physical_savage	wh2_main_wurrzag_leader	15	general_to_force_own
wh_dlc06_effect_upkeep_savage_orcs	wh2_main_wurrzag_leader	-50	general_to_force_own
wh_main_effect_tech_recruitment_cost_reduction_savage_orcs	wh2_main_wurrzag_leader	-50	general_to_force_own
wh_dlc08_effect_army_battle_trolls_physical_resistance	wh_dlc08_nor_throgg_faction	15	faction_to_force_own_unseen
wh_dlc08_effect_upkeep_reduction_trolls	wh_dlc08_nor_throgg_faction	-20	faction_to_force_own_unseen
wh_dlc04_effect_unit_enable_can_siege_dummy	wh_dlc08_nor_throgg_leader	1	character_to_character_own
wh_dlc08_effect_throgg_attrition_immunity	wh_dlc08_nor_throgg_leader	1	general_to_force_own_unseen
wh_main_effect_public_order_characters	wh_dlc08_nor_throgg_leader	1	character_to_province_own
wh_main_effect_religion_conversion_chaos	wh_dlc08_nor_throgg_leader	2	character_to_character_own_provincetext
wh_dlc08_effect_skill_melee_attack_increase_war_mammoth	wh_dlc08_nor_wulfrik_faction	15	faction_to_force_own_unseen
wh_dlc08_effect_tech_upkeep_reduction_marauders	wh_dlc08_nor_wulfrik_faction	-15	faction_to_force_own_unseen
wh_dlc04_effect_unit_enable_can_siege_dummy	wh_dlc08_nor_wulfrik_leader	1	character_to_character_own
wh_dlc08_effect_unit_enable_attribute_fear_wulfrik	wh_dlc08_nor_wulfrik_leader	1	general_to_force_own
wh_main_effect_force_all_campaign_reinforcement_range	wh_dlc08_nor_wulfrik_leader	30	character_to_character_own_armytext
