cdir_military_generator_template_ratios_tables	0
5	WH_mp_Chaos_siege_defence	Default_land_artillery
10	WH_mp_Chaos_siege_defence	Default_land_cavalry_melee
5	WH_mp_Chaos_siege_defence	Default_land_cavalry_missile
40	WH_mp_Chaos_siege_defence	Default_land_infantry_melee
1	WH_mp_Chaos_siege_defence	Default_land_magic
20	WH_mp_Chaos_siege_defence	Default_land_monster
10	WH_mp_Chaos_siege_defence	Default_land_support
2	WH_mp_Dark_Elves_siege_attack	Default_land_artillery
1	WH_mp_Dark_Elves_siege_attack	Default_land_cavalry_melee
7	WH_mp_Dark_Elves_siege_attack	Default_land_infantry_melee
4	WH_mp_Dark_Elves_siege_attack	Default_land_infantry_missile
1	WH_mp_Dark_Elves_siege_attack	Default_land_magic
2	WH_mp_Dark_Elves_siege_attack	Default_land_monster
2	WH_mp_Dark_Elves_siege_attack	Default_land_support
1	WH_mp_Dark_Elves_siege_defence	Default_land_cavalry_melee
6	WH_mp_Dark_Elves_siege_defence	Default_land_infantry_melee
7	WH_mp_Dark_Elves_siege_defence	Default_land_infantry_missile
1	WH_mp_Dark_Elves_siege_defence	Default_land_magic
2	WH_mp_Dark_Elves_siege_defence	Default_land_monster
2	WH_mp_Dark_Elves_siege_defence	Default_land_support
20	WH_mp_Dwarfs_siege_attack	Default_land_artillery
45	WH_mp_Dwarfs_siege_attack	Default_land_infantry_melee
15	WH_mp_Dwarfs_siege_attack	Default_land_infantry_missile
15	WH_mp_Dwarfs_siege_attack	Default_land_vehicle_flying
5	WH_mp_Dwarfs_siege_defence	Default_land_artillery
40	WH_mp_Dwarfs_siege_defence	Default_land_infantry_melee
40	WH_mp_Dwarfs_siege_defence	Default_land_infantry_missile
10	WH_mp_Dwarfs_siege_defence	Default_land_vehicle_flying
3	WH_mp_Empire_siege_attack	Default_land_artillery
1	WH_mp_Empire_siege_attack	Default_land_cavalry_melee
9	WH_mp_Empire_siege_attack	Default_land_infantry_melee
5	WH_mp_Empire_siege_attack	Default_land_infantry_missile
1	WH_mp_Empire_siege_attack	Default_land_magic
1	WH_mp_Empire_siege_defence	Default_land_cavalry_melee
9	WH_mp_Empire_siege_defence	Default_land_infantry_melee
7	WH_mp_Empire_siege_defence	Default_land_infantry_missile
1	WH_mp_Empire_siege_defence	Default_land_magic
1	WH_mp_Empire_siege_defence	Default_land_support
5	WH_mp_Greenskins_siege_attack	Default_land_artillery
20	WH_mp_Greenskins_siege_attack	Default_land_cavalry_melee
40	WH_mp_Greenskins_siege_attack	Default_land_infantry_melee
20	WH_mp_Greenskins_siege_attack	Default_land_infantry_missile
1	WH_mp_Greenskins_siege_attack	Default_land_magic
20	WH_mp_Greenskins_siege_attack	Default_land_monster
5	WH_mp_Greenskins_siege_defence	Default_land_artillery
20	WH_mp_Greenskins_siege_defence	Default_land_cavalry_melee
40	WH_mp_Greenskins_siege_defence	Default_land_infantry_melee
20	WH_mp_Greenskins_siege_defence	Default_land_infantry_missile
1	WH_mp_Greenskins_siege_defence	Default_land_magic
20	WH_mp_Greenskins_siege_defence	Default_land_monster
3	WH_mp_High_Elves_siege_attack	Default_land_artillery
2	WH_mp_High_Elves_siege_attack	Default_land_cavalry_melee
1	WH_mp_High_Elves_siege_attack	Default_land_flying
1	WH_mp_High_Elves_siege_attack	Default_land_flying_heavy
8	WH_mp_High_Elves_siege_attack	Default_land_infantry_melee
3	WH_mp_High_Elves_siege_attack	Default_land_infantry_missile
1	WH_mp_High_Elves_siege_attack	Default_land_magic
2	WH_mp_High_Elves_siege_defence	Default_land_cavalry_melee
1	WH_mp_High_Elves_siege_defence	Default_land_flying
1	WH_mp_High_Elves_siege_defence	Default_land_flying_heavy
8	WH_mp_High_Elves_siege_defence	Default_land_infantry_melee
6	WH_mp_High_Elves_siege_defence	Default_land_infantry_missile
1	WH_mp_High_Elves_siege_defence	Default_land_magic
5	WH_mp_Kislev_siege_attack	Default_land_artillery
5	WH_mp_Kislev_siege_attack	Default_land_cavalry_melee
30	WH_mp_Kislev_siege_attack	Default_land_infantry_melee
30	WH_mp_Kislev_siege_attack	Default_land_infantry_missile
5	WH_mp_Kislev_siege_attack	Default_land_magic
20	WH_mp_Kislev_siege_attack	Default_land_support
5	WH_mp_Kislev_siege_defence	Default_land_artillery
5	WH_mp_Kislev_siege_defence	Default_land_cavalry_melee
30	WH_mp_Kislev_siege_defence	Default_land_infantry_melee
30	WH_mp_Kislev_siege_defence	Default_land_infantry_missile
5	WH_mp_Kislev_siege_defence	Default_land_magic
25	WH_mp_Kislev_siege_defence	Default_land_support
2	WH_mp_Lizardmen_siege_attack	Default_land_artillery
1	WH_mp_Lizardmen_siege_attack	Default_land_cavalry_melee
9	WH_mp_Lizardmen_siege_attack	Default_land_infantry_melee
2	WH_mp_Lizardmen_siege_attack	Default_land_infantry_missile
1	WH_mp_Lizardmen_siege_attack	Default_land_magic
2	WH_mp_Lizardmen_siege_attack	Default_land_monster
2	WH_mp_Lizardmen_siege_attack	Default_land_support
1	WH_mp_Lizardmen_siege_defence	Default_land_cavalry_melee
8	WH_mp_Lizardmen_siege_defence	Default_land_infantry_melee
5	WH_mp_Lizardmen_siege_defence	Default_land_infantry_missile
1	WH_mp_Lizardmen_siege_defence	Default_land_magic
2	WH_mp_Lizardmen_siege_defence	Default_land_monster
2	WH_mp_Lizardmen_siege_defence	Default_land_support
10	WH_mp_Norsca_siege_attack	Default_land_cavalry_melee
10	WH_mp_Norsca_siege_attack	Default_land_harasser
30	WH_mp_Norsca_siege_attack	Default_land_infantry_melee
10	WH_mp_Norsca_siege_attack	Default_land_infantry_missile
1	WH_mp_Norsca_siege_attack	Default_land_magic
10	WH_mp_Norsca_siege_attack	Default_land_monster
20	WH_mp_Norsca_siege_attack	Default_land_support
10	WH_mp_Norsca_siege_defence	Default_land_cavalry_melee
10	WH_mp_Norsca_siege_defence	Default_land_harasser
30	WH_mp_Norsca_siege_defence	Default_land_infantry_melee
10	WH_mp_Norsca_siege_defence	Default_land_infantry_missile
1	WH_mp_Norsca_siege_defence	Default_land_magic
10	WH_mp_Norsca_siege_defence	Default_land_monster
20	WH_mp_Norsca_siege_defence	Default_land_support
4	WH_mp_Skaven_siege_attack	Default_land_anti_large
4	WH_mp_Skaven_siege_attack	Default_land_artillery
4	WH_mp_Skaven_siege_attack	Default_land_infantry_melee
3	WH_mp_Skaven_siege_attack	Default_land_infantry_missile
3	WH_mp_Skaven_siege_attack	Default_land_infantry_missile_heavy
1	WH_mp_Skaven_siege_attack	Default_land_magic
4	WH_mp_Skaven_siege_defence	Default_land_anti_large
4	WH_mp_Skaven_siege_defence	Default_land_infantry_melee
3	WH_mp_Skaven_siege_defence	Default_land_infantry_missile
3	WH_mp_Skaven_siege_defence	Default_land_infantry_missile_heavy
1	WH_mp_Skaven_siege_defence	Default_land_magic
4	WH_mp_Skaven_siege_defence	Default_land_support
1	WH_mp_TEB_siege_attack	Default_land_artillery
1	WH_mp_TEB_siege_attack	Default_land_cavalry_melee
5	WH_mp_TEB_siege_attack	Default_land_cavalry_missile
1	WH_mp_TEB_siege_attack	Default_land_cavalry_shock
40	WH_mp_TEB_siege_attack	Default_land_infantry_melee
20	WH_mp_TEB_siege_attack	Default_land_infantry_missile
35	WH_mp_TEB_siege_attack	Default_land_infantry_spearmen
1	WH_mp_TEB_siege_attack	Default_land_magic
1	WH_mp_TEB_siege_attack	Default_land_vehicle
1	WH_mp_TEB_siege_defence	Default_land_artillery
1	WH_mp_TEB_siege_defence	Default_land_cavalry_melee
5	WH_mp_TEB_siege_defence	Default_land_cavalry_missile
1	WH_mp_TEB_siege_defence	Default_land_cavalry_shock
30	WH_mp_TEB_siege_defence	Default_land_infantry_melee
35	WH_mp_TEB_siege_defence	Default_land_infantry_missile
30	WH_mp_TEB_siege_defence	Default_land_infantry_spearmen
1	WH_mp_TEB_siege_defence	Default_land_magic
1	WH_mp_TEB_siege_defence	Default_land_vehicle
1	WH_mp_Tomb_Kings_siege_attack	Default_land_animal_pack_flying
15	WH_mp_Tomb_Kings_siege_attack	Default_land_artillery
1	WH_mp_Tomb_Kings_siege_attack	Default_land_cavalry_melee
1	WH_mp_Tomb_Kings_siege_attack	Default_land_cavalry_missile
30	WH_mp_Tomb_Kings_siege_attack	Default_land_infantry_melee
30	WH_mp_Tomb_Kings_siege_attack	Default_land_infantry_missile
1	WH_mp_Tomb_Kings_siege_attack	Default_land_infantry_monterous
5	WH_mp_Tomb_Kings_siege_attack	Default_land_infantry_spearmen
5	WH_mp_Tomb_Kings_siege_attack	Default_land_magic
10	WH_mp_Tomb_Kings_siege_attack	Default_land_monster
1	WH_mp_Tomb_Kings_siege_defence	Default_land_animal_pack_flying
1	WH_mp_Tomb_Kings_siege_defence	Default_land_cavalry_melee
1	WH_mp_Tomb_Kings_siege_defence	Default_land_cavalry_missile
30	WH_mp_Tomb_Kings_siege_defence	Default_land_infantry_melee
30	WH_mp_Tomb_Kings_siege_defence	Default_land_infantry_missile
5	WH_mp_Tomb_Kings_siege_defence	Default_land_infantry_missile_heavy
10	WH_mp_Tomb_Kings_siege_defence	Default_land_infantry_monterous
5	WH_mp_Tomb_Kings_siege_defence	Default_land_infantry_spearmen
5	WH_mp_Tomb_Kings_siege_defence	Default_land_magic
10	WH_mp_Tomb_Kings_siege_defence	Default_land_monster
20	WH_mp_Vampire_Counts_siege_attack	Default_land_cavalry_melee
10	WH_mp_Vampire_Counts_siege_attack	Default_land_flying
40	WH_mp_Vampire_Counts_siege_attack	Default_land_infantry_melee
1	WH_mp_Vampire_Counts_siege_attack	Default_land_infantry_melee_low_quality
1	WH_mp_Vampire_Counts_siege_attack	Default_land_magic
20	WH_mp_Vampire_Counts_siege_attack	Default_land_monster
5	WH_mp_Vampire_Counts_siege_attack	Default_land_support
20	WH_mp_Vampire_Counts_siege_defence	Default_land_cavalry_melee
10	WH_mp_Vampire_Counts_siege_defence	Default_land_flying
40	WH_mp_Vampire_Counts_siege_defence	Default_land_infantry_melee
1	WH_mp_Vampire_Counts_siege_defence	Default_land_infantry_melee_low_quality
1	WH_mp_Vampire_Counts_siege_defence	Default_land_magic
20	WH_mp_Vampire_Counts_siege_defence	Default_land_monster
5	WH_mp_Vampire_Counts_siege_defence	Default_land_support
10	WH_mp_Wood_Elves_siege_attack	Default_land_cavalry_melee
1	WH_mp_Wood_Elves_siege_attack	Default_land_cavalry_missile
44	WH_mp_Wood_Elves_siege_attack	Default_land_infantry_melee
20	WH_mp_Wood_Elves_siege_attack	Default_land_infantry_missile
5	WH_mp_Wood_Elves_siege_attack	Default_land_magic
19	WH_mp_Wood_Elves_siege_attack	Default_land_monster
10	WH_mp_Wood_Elves_siege_defence	Default_land_cavalry_melee
1	WH_mp_Wood_Elves_siege_defence	Default_land_cavalry_missile
34	WH_mp_Wood_Elves_siege_defence	Default_land_infantry_melee
30	WH_mp_Wood_Elves_siege_defence	Default_land_infantry_missile
5	WH_mp_Wood_Elves_siege_defence	Default_land_magic
19	WH_mp_Wood_Elves_siege_defence	Default_land_monster
1	default_land	Default_land_artillery
1	default_land	Default_land_camels
1	default_land	Default_land_cavalry_melee
1	default_land	Default_land_cavalry_missile
1	default_land	Default_land_cavalry_shock
1	default_land	Default_land_elephants
1	default_land	Default_land_infantry_melee
1	default_land	Default_land_infantry_missile
1	default_land	Default_land_infantry_spearmen
2	default_naval	Default_naval_melee
2	default_naval	Default_naval_ranged
1	default_naval	Default_naval_special
