special_ability_phase_stat_effects_tables	3
phase	value	stat	how
wh2_main_unit_contact_witch_elf_poison	0.8	scalar_speed	mult
wh2_main_unit_contact_witch_elf_poison	0.90000004	stat_melee_defence	mult
wh2_main_unit_passive_attuned_to_magic	12	stat_resistance_all	add
wh2_main_unit_passive_blizzard_aura	-9	stat_melee_attack	add
wh2_main_unit_passive_blizzard_aura	0.90000004	stat_melee_damage_ap	mult
wh2_main_unit_passive_bloodshield_of_khaine	6	stat_resistance_physical	add
wh2_main_unit_passive_martial_mastery	8	stat_melee_attack	add
wh2_main_unit_passive_martial_mastery	12	stat_melee_defence	add
wh2_main_unit_passive_martial_prowess	2	stat_melee_attack	add
wh2_main_unit_passive_martial_prowess	12	stat_melee_defence	add
wh2_main_unit_passive_primal_instincts	1.1600001	stat_charge_bonus	mult
wh2_main_unit_passive_primal_instincts	8	stat_melee_attack	add
wh2_main_unit_passive_scurry_away	1.12	scalar_speed	mult
wh2_main_unit_passive_snare_net	0.8	scalar_speed	mult
wh2_main_unit_passive_strength_in_numbers	0.88	scalar_speed	mult
wh2_main_unit_passive_strength_in_numbers	8	stat_melee_defence	add
wh2_main_unit_passive_strength_in_numbers	6	stat_morale	add
wh2_main_weapon_abilities_dwarf_gouger	26	stat_melee_attack	add
wh2_main_weapon_abilities_dwarf_gouger	1.4	stat_melee_damage_ap	mult
wh2_main_weapon_abilities_hydra_blade	1.4	stat_melee_damage_ap	mult
wh2_main_weapon_abilities_hydra_blade	1.4	stat_melee_damage_base	mult
wh2_main_weapon_abilities_sword_of_teclis	44	stat_melee_attack	add
wh2_main_weapon_abilities_sword_of_teclis	1.6	stat_melee_damage_ap	mult
wh2_main_weapon_abilities_sword_of_teclis	1.6	stat_melee_damage_base	mult
wh2_main_weapon_abilities_web_of_shadows	0.76	scalar_speed	mult
wh2_main_weapon_passive_chillblade	0.88	scalar_speed	mult
wh2_main_weapon_passive_chillblade	-5	stat_melee_attack	add
wh2_main_weapon_passive_heartrender_and_the_darksword	-9	stat_melee_attack	add
wh2_main_weapon_passive_heartrender_and_the_darksword	-9	stat_melee_defence	add
wh_dlc01_banner_passive_blasted_standard	12	stat_missile_block_chance	add
wh_dlc01_item_passive_helm_of_many_eyes	6	stat_armour	add
wh_dlc01_item_passive_helm_of_many_eyes	5	stat_melee_attack	add
wh_dlc01_item_passive_the_crown_of_domination	4	stat_morale	add
wh_dlc01_weapon_abilities_starcrusher	1.3199999	scalar_splash_attack_power	mult
wh_dlc01_weapon_abilities_starcrusher	1.4	stat_melee_damage_ap	mult
wh_dlc01_weapon_abilities_the_slayer_of_kings	1.3199999	scalar_splash_attack_power	mult
wh_dlc01_weapon_abilities_the_slayer_of_kings	1.6	stat_melee_damage_ap	mult
wh_dlc01_weapon_abilities_the_slayer_of_kings	1.6	stat_melee_damage_base	mult
wh_dlc02_unit_passive_the_flag_of_blood_keep	22	stat_resistance_missile	add
wh_dlc03_banner_passive_manbane_standard	-4	stat_morale	add
wh_dlc03_banner_passive_totem_of_rust	-6	stat_armour	add
wh_dlc03_character_abilities_apocalyptic_vision	26	stat_melee_attack	add
wh_dlc03_character_abilities_apocalyptic_vision	16	stat_morale	add
wh_dlc03_character_abilities_call_of_violence	16	stat_morale	add
wh_dlc03_hero_passive_something_wicked_this_way_comes	-4	stat_morale	add
wh_dlc03_hero_passive_strength_of_the_land_iii	18	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_ii	12	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_i	6	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_iv	18	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_iv	11	stat_resistance_missile	add
wh_dlc03_hero_passive_the_unrelenting_warherd_iii	16	stat_melee_attack	add
wh_dlc03_hero_passive_the_unrelenting_warherd_ii	12	stat_melee_attack	add
wh_dlc03_hero_passive_the_unrelenting_warherd_i	8	stat_melee_attack	add
wh_dlc03_hero_passive_the_unrelenting_warherd_iv	1.3599999	stat_charge_bonus	mult
wh_dlc03_hero_passive_the_unrelenting_warherd_iv	16	stat_melee_attack	add
wh_dlc03_item_abilities_chalice_of_dark_rain	0.7	stat_accuracy	mult
wh_dlc03_item_abilities_hagtree_fetish	0.5	scalar_miscast_chance	mult
wh_dlc03_item_abilities_horn_of_the_first_beast	1.1800001	stat_charge_bonus	mult
wh_dlc03_item_abilities_horn_of_the_first_beast	26	stat_melee_attack	add
wh_dlc03_item_abilities_horn_of_the_first_beast	8	stat_morale	add
wh_dlc03_item_passive_banner_of_the_fallen_king	1.1	stat_melee_damage_ap	mult
wh_dlc03_item_passive_banner_of_the_fallen_king	1.1	stat_melee_damage_base	mult
wh_dlc03_item_passive_blackened_plate	20	stat_resistance_flame	add
wh_dlc03_item_passive_icon_of_vilification	12	stat_morale	add
wh_dlc03_item_passive_the_dark_mail	24	stat_armour	add
wh_dlc03_item_passive_the_dark_mail	22	stat_resistance_magic	add
wh_dlc03_item_passive_trollhide	-22	stat_weakness_flame	add
wh_dlc03_lord_passive_crush_the_weak	-5	stat_melee_attack	add
wh_dlc03_lord_passive_crush_the_weak	-5	stat_melee_defence	add
wh_dlc03_lord_passive_crush_the_weak	-4	stat_morale	add
wh_dlc03_lore_passive_bestial_surge	1.1800001	stat_charge_bonus	mult
wh_dlc03_quest_passive_poisoning	0.52	scalar_speed	mult
wh_dlc03_spell_beasts_panns_impenetrable_pelt_upgraded	1.24	scalar_speed	mult
wh_dlc03_spell_beasts_panns_impenetrable_pelt_upgraded	22	stat_resistance_physical	add
wh_dlc03_spell_beasts_panns_impenetrable_pelt	1.24	scalar_speed	mult
wh_dlc03_spell_beasts_panns_impenetrable_pelt	22	stat_resistance_physical	add
wh_dlc03_spell_beasts_the_curse_of_anraheir	0.76	scalar_speed	mult
wh_dlc03_spell_beasts_the_curse_of_anraheir	0.4	stat_accuracy	mult
wh_dlc03_spell_beasts_the_curse_of_anraheir	-26	stat_melee_attack	add
wh_dlc03_spell_beasts_wyssans_wildform	30	stat_armour	add
wh_dlc03_spell_beasts_wyssans_wildform	1.25	stat_melee_damage_base	mult
wh_dlc03_spell_wild_devolve_upgraded	-8	stat_morale	add
wh_dlc03_spell_wild_devolve	-8	stat_morale	add
wh_dlc03_spell_wild_mantle_of_ghorok	-30	stat_armour	add
wh_dlc03_spell_wild_mantle_of_ghorok	44	stat_melee_attack	add
wh_dlc03_spell_wild_mantle_of_ghorok	1.4	stat_melee_damage_ap	mult
wh_dlc03_spell_wild_mantle_of_ghorok	1.4	stat_melee_damage_base	mult
wh_dlc03_spell_wild_traitor_kin_upgraded	0.52	scalar_speed	mult
wh_dlc03_spell_wild_traitor_kin	0.76	scalar_speed	mult
wh_dlc03_unit_abilities_slaughterers_call	1.08	stat_charge_bonus	mult
wh_dlc03_unit_abilities_slaughterers_call	9	stat_melee_attack	add
wh_dlc03_unit_abilities_slaughterers_call	8	stat_morale	add
wh_dlc03_unit_passive_bloodgreed	1.12	scalar_speed	mult
wh_dlc03_unit_passive_bloodgreed	12	stat_morale	add
wh_dlc03_unit_passive_drunken	4	stat_morale	add
wh_dlc03_unit_passive_primal_fury	1.12	scalar_speed	mult
wh_dlc03_unit_passive_primal_fury	1.08	stat_charge_bonus	mult
wh_dlc03_unit_passive_primal_fury	5	stat_melee_attack	add
wh_dlc03_unit_passive_soul_eater	1.25	scalar_miscast_chance	mult
wh_dlc03_weapon_abilities_scourge	26	stat_melee_attack	add
wh_dlc03_weapon_abilities_scourge	27	stat_melee_defence	add
wh_dlc03_weapon_passive_mangelder	-8	stat_morale	add
wh_dlc03_weapon_passive_the_brass_cleaver	9	stat_melee_attack	add
wh_dlc04_hero_passive_divine_power	1.5	scalar_miscast_chance	mult
wh_dlc04_item_abilities_the_carstein_ring	90	stat_resistance_all	add
wh_dlc04_lord_abilities_beguile	-44	stat_melee_attack	add
wh_dlc04_lord_passive_aura_of_dark_majesty	-4	stat_morale	add
wh_dlc04_spell_bound_hammer_of_sigmar_upgraded	26	stat_melee_attack	add
wh_dlc04_spell_bound_shield_of_faith_upgraded	22	stat_resistance_all	add
wh_dlc04_unit_contact_helmans_blight	0.8	scalar_missile_damage_ap	mult
wh_dlc04_unit_contact_helmans_blight	0.8	scalar_missile_damage_base	mult
wh_dlc04_unit_contact_helmans_blight	0.64000005	scalar_speed	mult
wh_dlc04_unit_contact_helmans_blight	0.8	stat_melee_damage_ap	mult
wh_dlc04_unit_contact_helmans_blight	0.8	stat_melee_damage_base	mult
wh_dlc04_unit_passive_chilling_aura	0.64000005	scalar_speed	mult
wh_dlc04_unit_passive_strength_of_the_penitent	14	stat_melee_defence	add
wh_dlc04_unit_passive_strength_of_the_penitent	15	stat_resistance_physical	add
wh_dlc04_unit_passive_vigour_mortis	5	stat_melee_attack	add
wh_dlc04_unit_passive_vigour_mortis	5	stat_melee_defence	add
wh_dlc05_banner_passive_banner_of_the_eternal_queen	4	stat_morale	add
wh_dlc05_banner_passive_banner_of_the_eternal_queen	6	stat_resistance_all	add
wh_dlc05_banner_passive_banner_of_the_hunter_king	1.08	stat_charge_bonus	mult
wh_dlc05_banner_passive_banner_of_the_hunter_king	5	stat_melee_attack	add
wh_dlc05_character_abilities_pray_of_anath_raema	-22	stat_resistance_missile	add
wh_dlc05_hero_passive_hawkish_finesse	40	stat_reloading	add
wh_dlc05_hero_passive_hawkish_precision	1.15	scalar_missile_damage_ap	mult
wh_dlc05_item_abilities_horn_of_the_wild_hunt	1.54	stat_charge_bonus	mult
wh_dlc05_item_passive_cloak_of_isha	44	stat_resistance_all	add
wh_dlc05_lord_passive_call_of_the_woods	5	stat_melee_attack	add
wh_dlc05_lord_passive_howl_of_the_forest	9	stat_melee_attack	add
wh_dlc05_lord_passive_sight_beyond_sight	1.15	scalar_missile_damage_base	mult
wh_dlc05_lord_passive_the_eye_of_kurnous	1.1	scalar_missile_damage_base	mult
wh_dlc05_lore_passive_smoke_and_mirrors	1.12	scalar_speed	mult
wh_dlc05_quest_passive_aura_of_transmutation	95	stat_resistance_all	add
wh_dlc05_spell_life_awakening_of_the_wood	0.52	scalar_speed	mult
wh_dlc05_spell_life_flesh_to_stone_upgraded	60	stat_armour	add
wh_dlc05_spell_life_flesh_to_stone	60	stat_armour	add
wh_dlc05_spell_life_shield_of_thorns_upgraded	1.5	stat_melee_damage_base	mult
wh_dlc05_spell_life_shield_of_thorns_upgraded	22	stat_resistance_physical	add
wh_dlc05_spell_life_shield_of_thorns	1.25	stat_melee_damage_base	mult
wh_dlc05_spell_life_shield_of_thorns	22	stat_resistance_physical	add
wh_dlc05_spell_life_the_dwellers_below_upgraded	0.52	scalar_speed	mult
wh_dlc05_spell_life_the_dwellers_below	0.76	scalar_speed	mult
wh_dlc05_spell_shadow_melkoths_mystifying_miasma_upgraded	0.76	scalar_speed	mult
wh_dlc05_spell_shadow_melkoths_mystifying_miasma	0.76	scalar_speed	mult
wh_dlc05_spell_shadow_okkams_mindrazor_upgraded	1.4	stat_melee_damage_ap	mult
wh_dlc05_spell_shadow_okkams_mindrazor_upgraded	1.4	stat_melee_damage_base	mult
wh_dlc05_spell_shadow_okkams_mindrazor	1.4	stat_melee_damage_ap	mult
wh_dlc05_spell_shadow_okkams_mindrazor	1.4	stat_melee_damage_base	mult
wh_dlc05_spell_shadow_the_enfeebling_foe_upgraded	-26	stat_melee_attack	add
wh_dlc05_spell_shadow_the_enfeebling_foe_upgraded	-27	stat_melee_defence	add
wh_dlc05_spell_shadow_the_enfeebling_foe	-26	stat_melee_attack	add
wh_dlc05_spell_shadow_the_enfeebling_foe	-27	stat_melee_defence	add
wh_dlc05_spell_shadow_the_withering_upgraded	-30	stat_armour	add
wh_dlc05_spell_shadow_the_withering_upgraded	-8	stat_morale	add
wh_dlc05_spell_shadow_the_withering	-30	stat_armour	add
wh_dlc05_spell_shadow_the_withering	-8	stat_morale	add
wh_dlc05_unit_abilities_storm_of_blades	26	stat_melee_attack	add
wh_dlc05_unit_abilities_storm_of_blades	-27	stat_melee_defence	add
wh_dlc05_unit_abilities_the_shadows_coil	-26	stat_melee_attack	add
wh_dlc05_unit_abilities_the_shadows_coil	27	stat_melee_defence	add
wh_dlc05_unit_abilities_woven_mist	-27	stat_melee_defence	add
wh_dlc05_unit_abilities_woven_mist	44	stat_resistance_missile	add
wh_dlc05_unit_passive_guardians_of_the_wildwood	12	stat_bonus_vs_large	add
wh_dlc05_weapon_abilities_daiths_sword	-30	stat_armour	add
wh_dlc05_weapon_abilities_el_syf	0.52	scalar_speed	mult
wh_dlc05_weapon_abilities_el_syf	-45	stat_melee_defence	add
wh_dlc05_weapon_abilities_el_syf	-22	stat_resistance_physical	add
wh_dlc06_lord_abilities_mighty_oath_stone	27	stat_melee_defence	add
wh_dlc06_lord_abilities_revenge_incarnate	44	stat_melee_attack	add
wh_dlc06_lord_abilities_revenge_incarnate	1.5	stat_melee_damage_base	mult
wh_dlc06_lord_abilities_spite_of_da_bad_moon	48	stat_missile_block_chance	add
wh_dlc06_lord_abilities_tricksy_traps	1.24	scalar_speed	mult
wh_dlc06_lord_passive_locus_of_power	15	stat_resistance_magic	add
wh_dlc06_lord_passive_warpaint_of_wurrzag	6	stat_resistance_physical	add
wh_dlc06_lord_passive_wurrzags_revenge	1.5	scalar_miscast_chance	mult
wh_dlc06_quest_abilities_grand_faiths_bastion	90	stat_resistance_all	add
wh_dlc06_quest_passive_inquisitor_of_sigmar	1.3599999	scalar_speed	mult
wh_dlc06_quest_passive_inquisitor_of_sigmar	40	stat_reloading	add
wh_dlc06_rune_abilities_master_rune_of_negation	44	stat_resistance_all	add
wh_dlc06_rune_abilities_master_rune_of_oath_and_steel	60	stat_armour	add
wh_dlc06_rune_abilities_master_rune_of_wrath_and_ruin	0.52	scalar_speed	mult
wh_dlc06_rune_passive_master_rune_of_slowness	0.82	scalar_speed	mult
wh_dlc06_unit_abilities_marked_by_ulthar	-30	stat_armour	add
wh_dlc06_unit_abilities_marked_by_ulthar	-24	stat_missile_block_chance	add
wh_dlc06_unit_abilities_marked_by_ulthar	-22	stat_resistance_missile	add
wh_dlc06_unit_abilities_smoke_bomb	0.24000001	scalar_charge_speed	mult
wh_dlc06_unit_abilities_smoke_bomb	0.24000001	scalar_speed	mult
wh_dlc06_unit_contact_blinded	0.6	stat_accuracy	mult
wh_dlc06_unit_contact_blinded	-26	stat_melee_attack	add
wh_dlc06_unit_contact_blinded	-27	stat_melee_defence	add
wh_dlc06_unit_contact_discouraged	-16	stat_morale	add
wh_dlc06_unit_contact_flammable	0.64000005	scalar_speed	mult
wh_dlc06_unit_contact_flammable	-22	stat_weakness_flame	add
wh_dlc06_unit_contact_sundered_armour	-30	stat_armour	add
wh_dlc06_unit_passive_opportunist_murderer	13	stat_melee_attack	add
wh_dlc06_unit_passive_opportunist_murderer	1.4	stat_melee_damage_ap	mult
wh_dlc06_unit_passive_power_of_the_dragonback	22	stat_resistance_flame	add
wh_dlc06_unit_passive_squigs_go_wild	12	stat_morale	add
wh_dlc06_weapon_passive_bonewoof_staff	1.1800001	stat_charge_bonus	mult
wh_dlc06_weapon_passive_bonewoof_staff	13	stat_melee_attack	add
wh_dlc06_weapon_passive_hammer_of_angrund	1.1600001	stat_charge_bonus	mult
wh_dlc06_weapon_passive_hammer_of_angrund	9	stat_melee_attack	add
wh_dlc06_weapon_passive_hammer_of_angrund	1.15	stat_melee_damage_ap	mult
wh_dlc06_weapon_passive_hammer_of_angrund	1.15	stat_melee_damage_base	mult
wh_dlc07_hero_abilities_dolorous_blade	26	stat_melee_attack	add
wh_dlc07_hero_abilities_dolorous_blade	1.4	stat_melee_damage_ap	mult
wh_dlc07_hero_abilities_dolorous_blade	1.4	stat_melee_damage_base	mult
wh_dlc07_hero_passive_precise_control	1.1	scalar_missile_range	mult
wh_dlc07_lord_abilities_favour_of_the_fay	44	stat_melee_attack	add
wh_dlc07_lord_abilities_lions_shield	44	stat_resistance_magic	add
wh_dlc07_lord_abilities_lions_shield	44	stat_resistance_missile	add
wh_dlc07_lord_passive_mist_of_the_lady	-5	stat_melee_attack	add
wh_dlc07_lord_passive_spirit_of_the_tempest	1.1	scalar_speed	mult
wh_dlc07_lord_passive_spirit_of_the_tempest	1.08	stat_charge_bonus	mult
wh_dlc07_unit_formation_diamond	0.76	scalar_speed	mult
wh_dlc07_unit_formation_diamond	8	stat_bonus_vs_infantry	add
wh_dlc07_unit_formation_diamond	1.54	stat_charge_bonus	mult
wh_dlc07_unit_formation_diamond	0.76	stat_missile_block_chance	mult
wh_dlc07_unit_formation_flying_wedge	0.76	scalar_speed	mult
wh_dlc07_unit_formation_flying_wedge	16	stat_bonus_vs_infantry	add
wh_dlc07_unit_formation_flying_wedge	1.3599999	stat_charge_bonus	mult
wh_dlc07_unit_formation_flying_wedge	0.76	stat_missile_block_chance	mult
wh_dlc07_unit_formation_lance	1.12	scalar_charge_speed	mult
wh_dlc07_unit_formation_lance	1.4	scalar_entity_acceleration_modifier	mult
wh_dlc07_unit_formation_lance	1.4	scalar_entity_deceleration_modifier	mult
wh_dlc07_unit_formation_lance	1.3599999	stat_charge_bonus	mult
wh_dlc07_unit_passive_icon_of_devotion	12	stat_morale	add
wh_dlc08_character_abilities_hunter_of_champions	0.52	scalar_speed	mult
wh_dlc08_character_abilities_hunter_of_champions	-30	stat_armour	add
wh_dlc08_character_abilities_hunter_of_champions	-45	stat_melee_defence	add
wh_dlc08_hero_passive_frenzied_assault	1.3599999	stat_charge_bonus	mult
wh_dlc08_hero_passive_frenzied_assault	13	stat_melee_attack	add
wh_dlc08_hero_passive_ruinious_flesh	18	stat_armour	add
wh_dlc08_hero_passive_ruinious_flesh	11	stat_resistance_missile	add
wh_dlc08_hero_passive_twisted_flesh_iii	18	stat_armour	add
wh_dlc08_hero_passive_twisted_flesh_ii	12	stat_armour	add
wh_dlc08_hero_passive_twisted_flesh_i	6	stat_armour	add
wh_dlc08_hero_passive_vicious_assault_iii	13	stat_melee_attack	add
wh_dlc08_hero_passive_vicious_assault_ii	9	stat_melee_attack	add
wh_dlc08_hero_passive_vicious_assault_i	5	stat_melee_attack	add
wh_dlc08_lord_passive_daring_deathblow	1.4	stat_melee_damage_ap	mult
wh_dlc08_lord_passive_daring_deathblow	1.4	stat_melee_damage_base	mult
wh_dlc08_lord_passive_daring_deathblow	30	stat_resistance_physical	add
wh_dlc08_lord_passive_determined_deathblow	1.2	stat_melee_damage_ap	mult
wh_dlc08_lord_passive_determined_deathblow	1.2	stat_melee_damage_base	mult
wh_dlc08_quest_abilities_soul_binding	0	stat_resistance_all	mult
wh_dlc08_quest_ancient_protector	65	stat_resistance_physical	add
wh_dlc08_quest_passive_chilling_aura_boss	0.64000005	scalar_speed	mult
wh_dlc08_quest_passive_chilling_aura_boss	-16	stat_melee_attack	add
wh_dlc08_quest_passive_chilling_aura_boss	-8	stat_melee_defence	add
wh_dlc08_quest_passive_exploding_fart	-50	stat_morale	add
wh_dlc08_quest_passive_favoured_by_the_god	95	stat_resistance_all	add
wh_dlc08_quest_passive_lightening_down	0	scalar_charge_speed	mult
wh_dlc08_quest_passive_lightening_down	0	scalar_speed	mult
wh_dlc08_quest_passive_lightening_down	100	stat_resistance_magic	add
wh_dlc08_quest_passive_lightening_down	30	stat_resistance_missile	add
wh_dlc08_unit_abilities_berserk_iii	13	stat_melee_attack	add
wh_dlc08_unit_abilities_berserk_iii	22	stat_resistance_physical	add
wh_dlc08_unit_abilities_berserk_ii	13	stat_melee_attack	add
wh_dlc08_unit_abilities_berserk_ii	22	stat_resistance_physical	add
wh_dlc08_unit_abilities_berserk_i	22	stat_resistance_physical	add
wh_dlc08_unit_abilities_favour_of_the_ruinous_powers	10	stat_morale	add
wh_dlc08_unit_abilities_fight_or_die	26	stat_melee_attack	add
wh_dlc08_unit_abilities_fight_or_die	16	stat_morale	add
wh_dlc08_unit_abilities_rage_iii	5	stat_melee_attack	add
wh_dlc08_unit_abilities_rage_iii	8	stat_morale	add
wh_dlc08_unit_abilities_rage_iii	11	stat_resistance_physical	add
wh_dlc08_unit_abilities_rage_ii	8	stat_morale	add
wh_dlc08_unit_abilities_rage_ii	11	stat_resistance_physical	add
wh_dlc08_unit_abilities_rage_i	8	stat_morale	add
wh_dlc08_unit_abilities_seduction_of_the_serpent	27	stat_melee_defence	add
wh_dlc08_unit_abilities_seduction_of_the_serpent	16	stat_morale	add
wh_dlc08_unit_contact_frostbite	0.64000005	scalar_speed	mult
wh_dlc08_unit_passive_from_the_mist	22	stat_resistance_missile	add
wh_dlc08_weapon_abilities_stinky_giant_club	26	stat_melee_attack	add
wh_dlc08_weapon_abilities_stinky_giant_club	1.5	stat_melee_damage_base	mult
wh_dlc08_weapon_abilities_sword_of_torgald	1.75	stat_melee_damage_base	mult
wh_dlc08_weapon_passive_flaming_axe_of_cormac	9	stat_melee_attack	add
wh_dlc08_weapon_passive_flaming_axe_of_cormac	1.1800001	stat_melee_damage_base	mult
wh_main_banner_passive_banner_of_eternal_flame	1.06	stat_melee_damage_base	mult
wh_main_banner_passive_banner_of_lost_holds	5	stat_melee_attack	add
wh_main_banner_passive_banner_of_lost_holds	1.06	stat_melee_damage_base	mult
wh_main_banner_passive_banner_of_rage	1.08	stat_charge_bonus	mult
wh_main_banner_passive_banner_of_rage	8	stat_melee_attack	add
wh_main_banner_passive_banner_of_rage	1.12	stat_melee_damage_base	mult
wh_main_banner_passive_gleaming_pennant	4	stat_morale	add
wh_main_banner_passive_griffon_banner	-4	stat_morale	add
wh_main_banner_passive_scarecrow_banner	-8	stat_morale	add
wh_main_banner_passive_the_screaming_banner	-4	stat_morale	add
wh_main_character_abilities_blood_lust	1.2	stat_melee_damage_ap	mult
wh_main_character_abilities_deadly_onslaught	1.3599999	stat_charge_bonus	mult
wh_main_character_abilities_deadly_onslaught	1.2	stat_melee_damage_ap	mult
wh_main_character_abilities_deadly_onslaught	1.2	stat_melee_damage_base	mult
wh_main_character_abilities_foe_seeker	1.24	scalar_speed	mult
wh_main_character_abilities_get_back_ere	16	stat_morale	add
wh_main_character_abilities_heroic_killing_blow	1.4	stat_melee_damage_ap	mult
wh_main_character_abilities_heroic_killing_blow	1.4	stat_melee_damage_base	mult
wh_main_character_abilities_magical_animus	16	stat_morale	add
wh_main_character_abilities_rally	16	stat_morale	add
wh_main_character_abilities_red_fury	1.1800001	stat_charge_bonus	mult
wh_main_character_abilities_red_fury	1.2	stat_melee_damage_ap	mult
wh_main_character_abilities_stand_or_die	27	stat_melee_defence	add
wh_main_character_abilities_stand_or_die	16	stat_morale	add
wh_main_character_abilities_stand_your_ground	27	stat_melee_defence	add
wh_main_character_abilities_stand_your_ground	16	stat_morale	add
wh_main_character_abilities_undeath_resurgent	27	stat_melee_defence	add
wh_main_character_abilities_undeath_resurgent	16	stat_morale	add
wh_main_character_abilities_waaagh	1.24	scalar_speed	mult
wh_main_character_abilities_waaagh	1.1800001	stat_charge_bonus	mult
wh_main_character_abilities_waaagh	20	stat_melee_attack	add
wh_main_character_passive_benediction	8	stat_morale	add
wh_main_character_passive_dark_benediction	8	stat_morale	add
wh_main_character_passive_evasion	1.06	scalar_speed	mult
wh_main_character_passive_evasion	5	stat_melee_defence	add
wh_main_hero_abilities_accusation	-30	stat_armour	add
wh_main_hero_abilities_accusation	-26	stat_melee_defence	add
wh_main_hero_abilities_accusation	-22	stat_resistance_missile	add
wh_main_hero_abilities_ballistics_calibration	1.3	stat_accuracy	mult
wh_main_hero_abilities_ballistics_calibration	20	stat_reloading	add
wh_main_hero_abilities_faiths_bastion	22	stat_resistance_all	add
wh_main_hero_abilities_slippery	1.24	scalar_speed	mult
wh_main_hero_abilities_slippery	27	stat_melee_defence	add
wh_main_hero_passive_aura_of_the_lady	12	stat_resistance_magic	add
wh_main_hero_passive_extra_powder	1.1	scalar_missile_explosion_damage_ap	mult
wh_main_hero_passive_extra_powder	1.1	scalar_missile_explosion_damage_base	mult
wh_main_hero_passive_forgefire	1.1	stat_melee_damage_ap	mult
wh_main_hero_passive_swarm_of_flies	-5	stat_melee_attack	add
wh_main_item_abilities_cloak_of_mists_and_shadows	75	stat_resistance_physical	add
wh_main_item_abilities_daemonic_strength	1.4	stat_melee_damage_ap	mult
wh_main_item_abilities_daemonic_strength	1.4	stat_melee_damage_base	mult
wh_main_item_abilities_dark_fortune	22	stat_resistance_all	add
wh_main_item_abilities_earthing_rod	0	scalar_miscast_chance	mult
wh_main_item_abilities_opal_amulet	22	stat_resistance_all	add
wh_main_item_abilities_pendant_of_slaanesh	1.24	scalar_speed	mult
wh_main_item_abilities_pendant_of_slaanesh	44	stat_melee_attack	add
wh_main_item_abilities_potion_of_foolhardiness	1.3599999	stat_charge_bonus	mult
wh_main_item_abilities_potion_of_speed	1.1800001	scalar_charge_speed	mult
wh_main_item_abilities_potion_of_speed	1.1800001	scalar_entity_acceleration_modifier	mult
wh_main_item_abilities_potion_of_speed	1.24	scalar_speed	mult
wh_main_item_abilities_potion_of_strength	1.4	stat_melee_damage_ap	mult
wh_main_item_abilities_potion_of_strength	1.4	stat_melee_damage_base	mult
wh_main_item_abilities_potion_of_toughness	30	stat_armour	add
wh_main_item_abilities_potion_of_toughness	27	stat_melee_defence	add
wh_main_item_abilities_sceptre_of_stability	44	stat_resistance_magic	add
wh_main_item_abilities_scroll_of_shielding	22	stat_resistance_all	add
wh_main_item_abilities_silver_horn_of_vengeance	12	stat_charge_bonus	add
wh_main_item_abilities_skull_wand_of_kaloth	26	stat_melee_attack	add
wh_main_item_abilities_skull_wand_of_kaloth	1.5	stat_melee_damage_base	mult
wh_main_item_abilities_tricksters_shard	2	scalar_miscast_chance	mult
wh_main_item_abilities_van_horstmanns_speculum	-26	stat_melee_attack	add
wh_main_item_abilities_van_horstmanns_speculum	0.75	stat_melee_damage_base	mult
wh_main_item_abilities_van_horstmanns_speculum	-27	stat_melee_defence	add
wh_main_item_passive_featherfoe_torc	-12	stat_armour	add
wh_main_item_passive_featherfoe_torc	-9	stat_melee_defence	add
wh_main_item_passive_pidgeon_plucker_pendant	-5	stat_melee_attack	add
wh_main_item_passive_the_great_book_of_grudges	9	stat_melee_attack	add
wh_main_item_passive_the_other_tricksters_shard	-22	stat_resistance_magic	add
wh_main_item_passive_the_white_cloak_of_ulric	0.94000006	scalar_speed	mult
wh_main_item_passive_the_white_cloak_of_ulric	-9	stat_melee_attack	add
wh_main_lord_passive_beloved_son_of_bretonnia	1.08	stat_charge_bonus	mult
wh_main_lord_passive_beloved_son_of_bretonnia	8	stat_melee_attack	add
wh_main_lord_passive_beloved_son_of_bretonnia	1.12	stat_melee_damage_base	mult
wh_main_lord_passive_deathblow	1.15	stat_melee_damage_ap	mult
wh_main_lord_passive_deathblow	1.15	stat_melee_damage_base	mult
wh_main_lord_passive_get_on_wiv_it	8	stat_morale	add
wh_main_lord_passive_high_king	1.08	stat_charge_bonus	mult
wh_main_lord_passive_high_king	8	stat_melee_attack	add
wh_main_lord_passive_high_king	1.12	stat_melee_damage_base	mult
wh_main_lord_passive_hold_the_line	5	stat_melee_defence	add
wh_main_lord_passive_hold_the_line	4	stat_morale	add
wh_main_lord_passive_the_blessing_of_the_lady	20	stat_resistance_physical	add
wh_main_lore_passive_exorcism	-8	stat_morale	add
wh_main_lore_passive_kindleflame	-22	stat_weakness_flame	add
wh_main_lore_passive_metalshifting	1.1	stat_melee_damage_ap	mult
wh_main_lore_passive_metalshifting	1.1	stat_melee_damage_base	mult
wh_main_lore_passive_roiling_skies	0.76	scalar_speed	mult
wh_main_lore_passive_roiling_skies	-22	stat_melee_defence	add
wh_main_mark_passive_mark_of_khorne	1.08	stat_charge_bonus	mult
wh_main_mark_passive_mark_of_khorne	8	stat_melee_attack	add
