campaign_settlement_display_building_ids_tables	3
wh2_main_special_settlement_black_crag_cst_2	wh2_main_special_settlement_black_crag_cst_2	wh_main_building_dwf_settlement_major_2
wh2_main_special_settlement_black_crag_cst_3	wh2_main_special_settlement_black_crag_cst_3	wh_main_building_dwf_settlement_major_3
wh2_main_special_settlement_black_crag_cst_4	wh2_main_special_settlement_black_crag_cst_4	wh_main_building_dwf_settlement_major_4
wh2_main_special_settlement_black_crag_cst_5	wh2_main_special_settlement_black_crag_cst_5	wh_main_building_dwf_settlement_major_5
wh2_main_special_settlement_black_crag_cst_ruin	wh2_main_special_settlement_black_crag_cst_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_black_crag_def_1	wh2_main_special_settlement_black_crag_def_1	wh_main_building_dwf_settlement_major_1
wh2_main_special_settlement_black_crag_def_2	wh2_main_special_settlement_black_crag_def_2	wh_main_building_dwf_settlement_major_2
wh2_main_special_settlement_black_crag_def_3	wh2_main_special_settlement_black_crag_def_3	wh_main_building_dwf_settlement_major_3
wh2_main_special_settlement_black_crag_def_4	wh2_main_special_settlement_black_crag_def_4	wh_main_building_dwf_settlement_major_4
wh2_main_special_settlement_black_crag_def_5	wh2_main_special_settlement_black_crag_def_5	wh_main_building_dwf_settlement_major_5
wh2_main_special_settlement_black_crag_def_ruin	wh2_main_special_settlement_black_crag_def_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_black_crag_emp_1	wh2_main_special_settlement_black_crag_emp_1	wh_main_building_dwf_settlement_major_1
wh2_main_special_settlement_black_crag_emp_2	wh2_main_special_settlement_black_crag_emp_2	wh_main_building_dwf_settlement_major_2
wh2_main_special_settlement_black_crag_emp_3	wh2_main_special_settlement_black_crag_emp_3	wh_main_building_dwf_settlement_major_3
wh2_main_special_settlement_black_crag_emp_4	wh2_main_special_settlement_black_crag_emp_4	wh_main_building_dwf_settlement_major_4
wh2_main_special_settlement_black_crag_emp_5	wh2_main_special_settlement_black_crag_emp_5	wh_main_building_dwf_settlement_major_5
wh2_main_special_settlement_black_crag_emp_ruin	wh2_main_special_settlement_black_crag_emp_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_black_crag_hef_1	wh2_main_special_settlement_black_crag_hef_1	wh_main_building_dwf_settlement_major_1
wh2_main_special_settlement_black_crag_hef_2	wh2_main_special_settlement_black_crag_hef_2	wh_main_building_dwf_settlement_major_2
wh2_main_special_settlement_black_crag_hef_3	wh2_main_special_settlement_black_crag_hef_3	wh_main_building_dwf_settlement_major_3
wh2_main_special_settlement_black_crag_hef_4	wh2_main_special_settlement_black_crag_hef_4	wh_main_building_dwf_settlement_major_4
wh2_main_special_settlement_black_crag_hef_5	wh2_main_special_settlement_black_crag_hef_5	wh_main_building_dwf_settlement_major_5
wh2_main_special_settlement_black_crag_hef_ruin	wh2_main_special_settlement_black_crag_hef_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_black_crag_lzd_1	wh2_main_special_settlement_black_crag_lzd_1	wh_main_building_dwf_settlement_major_1
wh2_main_special_settlement_black_crag_lzd_2	wh2_main_special_settlement_black_crag_lzd_2	wh_main_building_dwf_settlement_major_2
wh2_main_special_settlement_black_crag_lzd_3	wh2_main_special_settlement_black_crag_lzd_3	wh_main_building_dwf_settlement_major_3
wh2_main_special_settlement_black_crag_lzd_4	wh2_main_special_settlement_black_crag_lzd_4	wh_main_building_dwf_settlement_major_4
wh2_main_special_settlement_black_crag_lzd_5	wh2_main_special_settlement_black_crag_lzd_5	wh_main_building_dwf_settlement_major_5
wh2_main_special_settlement_black_crag_lzd_ruin	wh2_main_special_settlement_black_crag_lzd_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_black_crag_other_1	wh2_main_special_settlement_black_crag_other_1	wh_main_building_dwf_settlement_major_1
wh2_main_special_settlement_black_crag_other_2	wh2_main_special_settlement_black_crag_other_2	wh_main_building_dwf_settlement_major_2
wh2_main_special_settlement_black_crag_other_3	wh2_main_special_settlement_black_crag_other_3	wh_main_building_dwf_settlement_major_3
wh2_main_special_settlement_black_crag_other_4	wh2_main_special_settlement_black_crag_other_4	wh_main_building_dwf_settlement_major_4
wh2_main_special_settlement_black_crag_other_5	wh2_main_special_settlement_black_crag_other_5	wh_main_building_dwf_settlement_major_5
wh2_main_special_settlement_black_crag_other_ruin	wh2_main_special_settlement_black_crag_other_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_black_crag_skv_1	wh2_main_special_settlement_black_crag_skv_1	wh_main_building_dwf_settlement_major_1
wh2_main_special_settlement_black_crag_skv_2	wh2_main_special_settlement_black_crag_skv_2	wh_main_building_dwf_settlement_major_2
wh2_main_special_settlement_black_crag_skv_3	wh2_main_special_settlement_black_crag_skv_3	wh_main_building_dwf_settlement_major_3
wh2_main_special_settlement_black_crag_skv_4	wh2_main_special_settlement_black_crag_skv_4	wh_main_building_dwf_settlement_major_4
wh2_main_special_settlement_black_crag_skv_5	wh2_main_special_settlement_black_crag_skv_5	wh_main_building_dwf_settlement_major_5
wh2_main_special_settlement_black_crag_skv_ruin	wh2_main_special_settlement_black_crag_skv_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_black_crag_vmp_1	wh2_main_special_settlement_black_crag_vmp_1	wh_main_building_dwf_settlement_major_1
wh2_main_special_settlement_black_crag_vmp_2	wh2_main_special_settlement_black_crag_vmp_2	wh_main_building_dwf_settlement_major_2
wh2_main_special_settlement_black_crag_vmp_3	wh2_main_special_settlement_black_crag_vmp_3	wh_main_building_dwf_settlement_major_3
wh2_main_special_settlement_black_crag_vmp_4	wh2_main_special_settlement_black_crag_vmp_4	wh_main_building_dwf_settlement_major_4
wh2_main_special_settlement_black_crag_vmp_5	wh2_main_special_settlement_black_crag_vmp_5	wh_main_building_dwf_settlement_major_5
wh2_main_special_settlement_black_crag_vmp_ruin	wh2_main_special_settlement_black_crag_vmp_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_castle_drakenhof_def_1	wh2_main_special_settlement_castle_drakenhof_def_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_castle_drakenhof_def_2	wh2_main_special_settlement_castle_drakenhof_def_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_castle_drakenhof_def_3	wh2_main_special_settlement_castle_drakenhof_def_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_castle_drakenhof_def_4	wh2_main_special_settlement_castle_drakenhof_def_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_castle_drakenhof_def_5	wh2_main_special_settlement_castle_drakenhof_def_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_castle_drakenhof_def_ruin	wh2_main_special_settlement_castle_drakenhof_def_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_castle_drakenhof_dwf_1	wh2_main_special_settlement_castle_drakenhof_dwf_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_castle_drakenhof_dwf_2	wh2_main_special_settlement_castle_drakenhof_dwf_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_castle_drakenhof_dwf_3	wh2_main_special_settlement_castle_drakenhof_dwf_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_castle_drakenhof_dwf_4	wh2_main_special_settlement_castle_drakenhof_dwf_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_castle_drakenhof_dwf_5	wh2_main_special_settlement_castle_drakenhof_dwf_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_castle_drakenhof_dwf_ruin	wh2_main_special_settlement_castle_drakenhof_dwf_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_castle_drakenhof_grn_1	wh2_main_special_settlement_castle_drakenhof_grn_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_castle_drakenhof_grn_2	wh2_main_special_settlement_castle_drakenhof_grn_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_castle_drakenhof_grn_3	wh2_main_special_settlement_castle_drakenhof_grn_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_castle_drakenhof_grn_4	wh2_main_special_settlement_castle_drakenhof_grn_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_castle_drakenhof_grn_5	wh2_main_special_settlement_castle_drakenhof_grn_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_castle_drakenhof_grn_ruin	wh2_main_special_settlement_castle_drakenhof_grn_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_castle_drakenhof_hef_1	wh2_main_special_settlement_castle_drakenhof_hef_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_castle_drakenhof_hef_2	wh2_main_special_settlement_castle_drakenhof_hef_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_castle_drakenhof_hef_3	wh2_main_special_settlement_castle_drakenhof_hef_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_castle_drakenhof_hef_4	wh2_main_special_settlement_castle_drakenhof_hef_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_castle_drakenhof_hef_5	wh2_main_special_settlement_castle_drakenhof_hef_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_castle_drakenhof_hef_ruin	wh2_main_special_settlement_castle_drakenhof_hef_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_castle_drakenhof_lzd_1	wh2_main_special_settlement_castle_drakenhof_lzd_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_castle_drakenhof_lzd_2	wh2_main_special_settlement_castle_drakenhof_lzd_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_castle_drakenhof_lzd_3	wh2_main_special_settlement_castle_drakenhof_lzd_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_castle_drakenhof_lzd_4	wh2_main_special_settlement_castle_drakenhof_lzd_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_castle_drakenhof_lzd_5	wh2_main_special_settlement_castle_drakenhof_lzd_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_castle_drakenhof_lzd_ruin	wh2_main_special_settlement_castle_drakenhof_lzd_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_castle_drakenhof_norsca_1	wh2_main_special_settlement_castle_drakenhof_norsca_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_castle_drakenhof_norsca_2	wh2_main_special_settlement_castle_drakenhof_norsca_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_castle_drakenhof_norsca_3	wh2_main_special_settlement_castle_drakenhof_norsca_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_castle_drakenhof_norsca_ruin	wh2_main_special_settlement_castle_drakenhof_norsca_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_castle_drakenhof_other_1	wh2_main_special_settlement_castle_drakenhof_other_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_castle_drakenhof_other_2	wh2_main_special_settlement_castle_drakenhof_other_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_castle_drakenhof_other_3	wh2_main_special_settlement_castle_drakenhof_other_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_castle_drakenhof_other_4	wh2_main_special_settlement_castle_drakenhof_other_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_castle_drakenhof_other_5	wh2_main_special_settlement_castle_drakenhof_other_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_castle_drakenhof_other_ruin	wh2_main_special_settlement_castle_drakenhof_other_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_castle_drakenhof_savage_1	wh2_main_special_settlement_castle_drakenhof_savage_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_castle_drakenhof_savage_2	wh2_main_special_settlement_castle_drakenhof_savage_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_castle_drakenhof_savage_3	wh2_main_special_settlement_castle_drakenhof_savage_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_castle_drakenhof_savage_ruin	wh2_main_special_settlement_castle_drakenhof_savage_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_castle_drakenhof_skv_1	wh2_main_special_settlement_castle_drakenhof_skv_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_castle_drakenhof_skv_2	wh2_main_special_settlement_castle_drakenhof_skv_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_castle_drakenhof_skv_3	wh2_main_special_settlement_castle_drakenhof_skv_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_castle_drakenhof_skv_4	wh2_main_special_settlement_castle_drakenhof_skv_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_castle_drakenhof_skv_5	wh2_main_special_settlement_castle_drakenhof_skv_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_castle_drakenhof_skv_ruin	wh2_main_special_settlement_castle_drakenhof_skv_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_colony_major_hef_1	wh2_main_special_settlement_colony_major_hef_1	wh2_main_building_hef_settlement_major_1
wh2_main_special_settlement_colony_major_hef_2	wh2_main_special_settlement_colony_major_hef_2	wh2_main_building_hef_settlement_major_2
wh2_main_special_settlement_colony_major_hef_3	wh2_main_special_settlement_colony_major_hef_3	wh2_main_building_hef_settlement_major_3
wh2_main_special_settlement_colony_major_hef_4	wh2_main_special_settlement_colony_major_hef_4	wh2_main_building_hef_settlement_major_4
wh2_main_special_settlement_colony_major_hef_5	wh2_main_special_settlement_colony_major_hef_5	wh2_main_building_hef_settlement_major_5
wh2_main_special_settlement_colony_major_hef_ruin	wh2_main_special_settlement_colony_major_hef_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_colony_major_norscaruin_khorne	wh2_main_special_settlement_colony_major_norscaruin_khorne	wh_dlc08_god_ruin_khorne
wh2_main_special_settlement_colony_major_norscaruin_nurgle	wh2_main_special_settlement_colony_major_norscaruin_nurgle	wh_dlc08_god_ruin_nurgle
wh2_main_special_settlement_colony_major_norscaruin_slaanesh	wh2_main_special_settlement_colony_major_norscaruin_slaanesh	wh_dlc08_god_ruin_slaanesh
wh2_main_special_settlement_colony_major_norscaruin_tzeentch	wh2_main_special_settlement_colony_major_norscaruin_tzeentch	wh_dlc08_god_ruin_tzeentch
wh2_main_special_settlement_colony_major_other_1	wh2_main_special_settlement_colony_major_other_1	wh2_main_building_hef_settlement_major_1
wh2_main_special_settlement_colony_major_other_2	wh2_main_special_settlement_colony_major_other_2	wh2_main_building_hef_settlement_major_2
wh2_main_special_settlement_colony_major_other_3	wh2_main_special_settlement_colony_major_other_3	wh2_main_building_hef_settlement_major_3
wh2_main_special_settlement_colony_major_other_4	wh2_main_special_settlement_colony_major_other_4	wh2_main_building_hef_settlement_major_4
wh2_main_special_settlement_colony_major_other_5	wh2_main_special_settlement_colony_major_other_5	wh2_main_building_hef_settlement_major_5
wh2_main_special_settlement_colony_major_other_ruin	wh2_main_special_settlement_colony_major_other_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_colony_major_wef_1	wh2_main_special_settlement_colony_major_wef_1	wh_dlc05_building_wef_outpost_1
wh2_main_special_settlement_colony_major_wef_2	wh2_main_special_settlement_colony_major_wef_2	wh_dlc05_building_wef_outpost_2
wh2_main_special_settlement_colony_major_wef_3	wh2_main_special_settlement_colony_major_wef_3	wh_dlc05_building_wef_outpost_3
wh2_main_special_settlement_colony_major_wef_ruin	wh2_main_special_settlement_colony_major_wef_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_colony_minor_hef_1	wh2_main_special_settlement_colony_minor_hef_1	wh2_main_building_hef_settlement_minor_1
wh2_main_special_settlement_colony_minor_hef_2	wh2_main_special_settlement_colony_minor_hef_2	wh2_main_building_hef_settlement_minor_2
wh2_main_special_settlement_colony_minor_hef_3	wh2_main_special_settlement_colony_minor_hef_3	wh2_main_building_hef_settlement_minor_3
wh2_main_special_settlement_colony_minor_hef_ruin	wh2_main_special_settlement_colony_minor_hef_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_colony_minor_norscaruin_khorne	wh2_main_special_settlement_colony_minor_norscaruin_khorne	wh_dlc08_god_ruin_khorne
wh2_main_special_settlement_colony_minor_norscaruin_nurgle	wh2_main_special_settlement_colony_minor_norscaruin_nurgle	wh_dlc08_god_ruin_nurgle
wh2_main_special_settlement_colony_minor_norscaruin_slaanesh	wh2_main_special_settlement_colony_minor_norscaruin_slaanesh	wh_dlc08_god_ruin_slaanesh
wh2_main_special_settlement_colony_minor_norscaruin_tzeentch	wh2_main_special_settlement_colony_minor_norscaruin_tzeentch	wh_dlc08_god_ruin_tzeentch
wh2_main_special_settlement_colony_minor_other_1	wh2_main_special_settlement_colony_minor_other_1	wh2_main_building_hef_settlement_minor_1
wh2_main_special_settlement_colony_minor_other_2	wh2_main_special_settlement_colony_minor_other_2	wh2_main_building_hef_settlement_minor_2
wh2_main_special_settlement_colony_minor_other_3	wh2_main_special_settlement_colony_minor_other_3	wh2_main_building_hef_settlement_minor_3
wh2_main_special_settlement_colony_minor_other_ruin	wh2_main_special_settlement_colony_minor_other_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_colony_minor_wef_1	wh2_main_special_settlement_colony_minor_wef_1	wh_dlc05_building_wef_outpost_1
wh2_main_special_settlement_colony_minor_wef_2	wh2_main_special_settlement_colony_minor_wef_2	wh_dlc05_building_wef_outpost_2
wh2_main_special_settlement_colony_minor_wef_3	wh2_main_special_settlement_colony_minor_wef_3	wh_dlc05_building_wef_outpost_3
wh2_main_special_settlement_colony_minor_wef_ruin	wh2_main_special_settlement_colony_minor_wef_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_couronne_cst_1	wh2_main_special_settlement_couronne_cst_1	wh_main_building_brt_settlement_major_1
wh2_main_special_settlement_couronne_cst_2	wh2_main_special_settlement_couronne_cst_2	wh_main_building_brt_settlement_major_2
wh2_main_special_settlement_couronne_cst_3	wh2_main_special_settlement_couronne_cst_3	wh_main_building_brt_settlement_major_3
wh2_main_special_settlement_couronne_cst_4	wh2_main_special_settlement_couronne_cst_4	wh_main_building_brt_settlement_major_4
wh2_main_special_settlement_couronne_cst_5	wh2_main_special_settlement_couronne_cst_5	wh_main_building_brt_settlement_major_5
wh2_main_special_settlement_couronne_cst_ruin	wh2_main_special_settlement_couronne_cst_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_couronne_def_1	wh2_main_special_settlement_couronne_def_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_couronne_def_2	wh2_main_special_settlement_couronne_def_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_couronne_def_3	wh2_main_special_settlement_couronne_def_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_couronne_def_4	wh2_main_special_settlement_couronne_def_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_couronne_def_5	wh2_main_special_settlement_couronne_def_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_couronne_def_ruin	wh2_main_special_settlement_couronne_def_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_couronne_dwf_1	wh2_main_special_settlement_couronne_dwf_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_couronne_dwf_2	wh2_main_special_settlement_couronne_dwf_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_couronne_dwf_3	wh2_main_special_settlement_couronne_dwf_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_couronne_dwf_4	wh2_main_special_settlement_couronne_dwf_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_couronne_dwf_5	wh2_main_special_settlement_couronne_dwf_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_couronne_dwf_ruin	wh2_main_special_settlement_couronne_dwf_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_couronne_grn_1	wh2_main_special_settlement_couronne_grn_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_couronne_grn_2	wh2_main_special_settlement_couronne_grn_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_couronne_grn_3	wh2_main_special_settlement_couronne_grn_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_couronne_grn_4	wh2_main_special_settlement_couronne_grn_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_couronne_grn_5	wh2_main_special_settlement_couronne_grn_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_couronne_grn_ruin	wh2_main_special_settlement_couronne_grn_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_couronne_hef_1	wh2_main_special_settlement_couronne_hef_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_couronne_hef_2	wh2_main_special_settlement_couronne_hef_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_couronne_hef_3	wh2_main_special_settlement_couronne_hef_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_couronne_hef_4	wh2_main_special_settlement_couronne_hef_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_couronne_hef_5	wh2_main_special_settlement_couronne_hef_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_couronne_hef_ruin	wh2_main_special_settlement_couronne_hef_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_couronne_lzd_1	wh2_main_special_settlement_couronne_lzd_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_couronne_lzd_2	wh2_main_special_settlement_couronne_lzd_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_couronne_lzd_3	wh2_main_special_settlement_couronne_lzd_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_couronne_lzd_4	wh2_main_special_settlement_couronne_lzd_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_couronne_lzd_5	wh2_main_special_settlement_couronne_lzd_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_couronne_lzd_ruin	wh2_main_special_settlement_couronne_lzd_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_couronne_norsca_1	wh2_main_special_settlement_couronne_norsca_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_couronne_norsca_2	wh2_main_special_settlement_couronne_norsca_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_couronne_norsca_3	wh2_main_special_settlement_couronne_norsca_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_couronne_norsca_ruin	wh2_main_special_settlement_couronne_norsca_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_couronne_other_1	wh2_main_special_settlement_couronne_other_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_couronne_other_2	wh2_main_special_settlement_couronne_other_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_couronne_other_3	wh2_main_special_settlement_couronne_other_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_couronne_other_4	wh2_main_special_settlement_couronne_other_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_couronne_other_5	wh2_main_special_settlement_couronne_other_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_couronne_other_ruin	wh2_main_special_settlement_couronne_other_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_couronne_savage_1	wh2_main_special_settlement_couronne_savage_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_couronne_savage_2	wh2_main_special_settlement_couronne_savage_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_couronne_savage_3	wh2_main_special_settlement_couronne_savage_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_couronne_savage_ruin	wh2_main_special_settlement_couronne_savage_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_couronne_skv_1	wh2_main_special_settlement_couronne_skv_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_couronne_skv_2	wh2_main_special_settlement_couronne_skv_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_couronne_skv_3	wh2_main_special_settlement_couronne_skv_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_couronne_skv_4	wh2_main_special_settlement_couronne_skv_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_couronne_skv_5	wh2_main_special_settlement_couronne_skv_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_couronne_skv_ruin	wh2_main_special_settlement_couronne_skv_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_drakenhof_cst_1	wh2_main_special_settlement_drakenhof_cst_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_drakenhof_cst_2	wh2_main_special_settlement_drakenhof_cst_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_drakenhof_cst_3	wh2_main_special_settlement_drakenhof_cst_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_drakenhof_cst_4	wh2_main_special_settlement_drakenhof_cst_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_drakenhof_cst_5	wh2_main_special_settlement_drakenhof_cst_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_drakenhof_cst_ruin	wh2_main_special_settlement_drakenhof_cst_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_eight_peaks_brt_1	wh2_main_special_settlement_eight_peaks_brt_1	wh_main_building_dwf_settlement_major_1
wh2_main_special_settlement_eight_peaks_brt_2	wh2_main_special_settlement_eight_peaks_brt_2	wh_main_building_dwf_settlement_major_2
wh2_main_special_settlement_eight_peaks_brt_3	wh2_main_special_settlement_eight_peaks_brt_3	wh_main_building_dwf_settlement_major_3
wh2_main_special_settlement_eight_peaks_brt_4	wh2_main_special_settlement_eight_peaks_brt_4	wh_main_building_dwf_settlement_major_4
wh2_main_special_settlement_eight_peaks_brt_5	wh2_main_special_settlement_eight_peaks_brt_5	wh_main_building_dwf_settlement_major_5
wh2_main_special_settlement_eight_peaks_brt_ruin	wh2_main_special_settlement_eight_peaks_brt_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_eight_peaks_cst_1	wh2_main_special_settlement_eight_peaks_cst_1	wh_main_building_dwf_settlement_major_1
wh2_main_special_settlement_eight_peaks_cst_2	wh2_main_special_settlement_eight_peaks_cst_2	wh_main_building_dwf_settlement_major_2
wh2_main_special_settlement_eight_peaks_cst_3	wh2_main_special_settlement_eight_peaks_cst_3	wh_main_building_dwf_settlement_major_3
wh2_main_special_settlement_eight_peaks_cst_4	wh2_main_special_settlement_eight_peaks_cst_4	wh_main_building_dwf_settlement_major_4
wh2_main_special_settlement_eight_peaks_cst_5	wh2_main_special_settlement_eight_peaks_cst_5	wh_main_building_dwf_settlement_major_5
wh2_main_special_settlement_eight_peaks_cst_ruin	wh2_main_special_settlement_eight_peaks_cst_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_eight_peaks_def_1	wh2_main_special_settlement_eight_peaks_def_1	wh_main_building_dwf_settlement_major_1
wh2_main_special_settlement_eight_peaks_def_2	wh2_main_special_settlement_eight_peaks_def_2	wh_main_building_dwf_settlement_major_2
wh2_main_special_settlement_eight_peaks_def_3	wh2_main_special_settlement_eight_peaks_def_3	wh_main_building_dwf_settlement_major_3
wh2_main_special_settlement_eight_peaks_def_4	wh2_main_special_settlement_eight_peaks_def_4	wh_main_building_dwf_settlement_major_4
wh2_main_special_settlement_eight_peaks_def_5	wh2_main_special_settlement_eight_peaks_def_5	wh_main_building_dwf_settlement_major_5
wh2_main_special_settlement_eight_peaks_def_ruin	wh2_main_special_settlement_eight_peaks_def_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_eight_peaks_emp_1	wh2_main_special_settlement_eight_peaks_emp_1	wh_main_building_dwf_settlement_major_1
wh2_main_special_settlement_eight_peaks_emp_2	wh2_main_special_settlement_eight_peaks_emp_2	wh_main_building_dwf_settlement_major_2
