battle_set_piece_armies_characters_junctions_tables	1
wh2_main_qb_final_battle_skv_frontend_player	wh2_main_qb_final_battle_skv_general_with_army_abilities	
wh2_main_qb_final_battle_skv_frontend_player	wh2_main_qb_final_battle_skv_plague_priest	
wh2_main_qb_final_battle_skv_frontend_player	wh2_main_qb_final_battle_skv_warlock_engineer	
wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_attacker_01	wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_attacker_teclis	player_army
wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_attacker_02	wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_attacker_tyrion	ally_tyrion_west
wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_defender_01	wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_defender_dreadlord	enemy_main_army
wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_defender_03	wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_defender_malekith	enemy_malekith
wh2_main_qb_hef_teclis_war_crown_of_saphery_stage_3_caverns_of_the_great_attacker_01	wh2_main_qb_hef_teclis_war_crown_of_saphery_stage_3_caverns_of_the_great_attacker_skaven_warlord	enemy_army
wh2_main_qb_hef_teclis_war_crown_of_saphery_stage_3_caverns_of_the_great_defender_01	wh2_main_qb_hef_teclis_war_crown_of_saphery_stage_3_caverns_of_the_great_defender_loremaster	player_army
wh2_main_qb_hef_teclis_war_crown_of_saphery_stage_3_caverns_of_the_great_defender_01	wh2_main_qb_hef_teclis_war_crown_of_saphery_stage_3_caverns_of_the_great_defender_teclis	player_army
wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_attacker_01	wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_attacker_malekith	enemy_malekith
wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_attacker_02	wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_attacker_dreadlord	enemy_expendable
wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_defender_01	wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_defender_mage	player_army
wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_defender_01	wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_defender_tyrion	player_army
wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_defender_02	wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_defender_teclis	player_ally_teclis_west
wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_attacker_01	wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_attacker_tyrion	player_army
wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_defender_01	wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_defender_prince	enemy_army
wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_defender_02	wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_defender_loremaster_02	enemy_reinforcements_1
wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_defender_02	wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_defender_tower_prince_01	enemy_reinforcements_1
wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_defender_03	wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_defender_loremaster_03	enemy_reinforcements_2
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_attacker_01	wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_attacker	
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_defender_01	wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_defender	high_elf_army
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_defender_04_ally	wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_defender_mage_high	high_elf_mages
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_defender_04_ally	wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_defender_mage_light	high_elf_mages
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_easy_attacker_01	wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_easy_attacker	feral_bastiladon
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_easy_defender_01	wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_defender	high_elf_army
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_easy_defender_04_ally	wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_defender_mage_high	high_elf_mages
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_easy_defender_04_ally	wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_defender_mage_light	high_elf_mages
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_hard_attacker_01	wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_hard_attacker	feral_bastiladon
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_hard_defender_01	wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_defender	high_elf_army
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_hard_defender_04_ally	wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_defender_mage_high	high_elf_mages
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_hard_defender_04_ally	wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_defender_mage_light	high_elf_mages
wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_attacker_01	wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_attacker_kroqgar	player_army
wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_attacker_01	wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_attacker_skink_priest	player_army
wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_defender_01	wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_defender_dreadlord	enemy_lord
wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_defender_01	wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_defender_sorceress	enemy_army
wh2_main_qb_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_3_isle_of_the_crimson_skull_attacker_01	wh2_main_qb_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_3_isle_of_the_crimson_skull_attacker_mazdamundi	player_army
wh2_main_qb_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_3_isle_of_the_crimson_skull_defender_01	wh2_main_qb_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_3_isle_of_the_crimson_skull_defender_grey_seer	enemy_army
wh2_main_qb_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_3_isle_of_the_crimson_skull_defender_01	wh2_main_qb_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_3_isle_of_the_crimson_skull_defender_warlock_engineer	enemy_army
wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_attacker_01	wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_attacker_chaos	enemy_army_1
wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_attacker_02	wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_attacker_chaos_sorcerer	enemy_flyers
wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_defender_mazdamundi	wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_defender_mazdamundi	player_army
wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_defender_mazdamundi	wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_defender_skink_chief	player_army
wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully_attacker_01	wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully_attacker_01	enemy_army_1
wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully_attacker_02	wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully_attacker_02	enemy_army_2
wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully_defender_01	wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully_defender_chief_finder	player_army
wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully_defender_01	wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully_defender_queek	player_army
wh2_main_qb_skv_queek_headtaker_warp_shard_armour_stage_6_warp_shard_caverns_attacker_01	wh2_main_qb_skv_queek_headtaker_warp_shard_armour_stage_6_warp_shard_caverns_attacker_queek	player_army
wh2_main_qb_skv_queek_headtaker_warp_shard_armour_stage_6_warp_shard_caverns_defender_01	wh2_main_qb_skv_queek_headtaker_warp_shard_armour_stage_6_warp_shard_caverns_defender_warlord	enemy_army
wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_attacker_01	wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_attacker_slann_mage	enemy_army
wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_attacker_02_ally	wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_attacker_saurus_old_blood	reinforcements
wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_defender_01	wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_defender_lord_skrolk	player_army
wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_defender_01	wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_defender_warlock_engineer	enemy_army
wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_attacker_01	wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_attacker_necromancer_01	enemy_army_north
wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_attacker_02	wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_attacker_necromancer_02	south_3
wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_attacker_03	wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_attacker_necromancer_03	west_5
wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_defender_01	wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_defender_lord_skrolk	player_army
wh_dlc01_qb_chs_archaon_armour_of_morkar_stage_3_attacker_1	wh_dlc01_qb_chs_archaon_armour_of_morkar_stage_3_attacker_1_general	
wh_dlc01_qb_chs_archaon_armour_of_morkar_stage_3_player	wh_dlc01_qb_chs_archaon_armour_of_morkar_stage_3_player	
wh_dlc01_qb_chs_archaon_crown_of_command_stage_2_defender_1	wh_dlc01_qb_chs_archaon_crown_of_command_stage_3_defender_1_lord_of_change_general	
wh_dlc01_qb_chs_archaon_crown_of_command_stage_2_player	wh_dlc01_qb_chs_archaon_crown_of_command_stage_2_player	
wh_dlc01_qb_chs_archaon_eye_of_sheerian_stage_3_attacker_2	wh_dlc01_qb_chs_archaon_eye_of_sheerian_stage_3_attacker_1_general	dragon_lord
wh_dlc01_qb_chs_archaon_eye_of_sheerian_stage_3_player	wh_dlc01_qb_chs_archaon_eye_of_sheerian_stage_3_player	
wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_defender_1	wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_defender_1_general	
wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_player	wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_player	
wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_player	wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_player_sorceror	
wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_defender_1	wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_defender_1_general	
wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_defender_1	wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_defender_1_shaman	
wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_defender_2	wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_defender_2_general	
wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_defender_2	wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_defender_2_necromancer	
wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_player	wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_player	
wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_attacker_1	wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_attacker_1_general	
wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_player	wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_player	
wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_player	wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_player_sorcerer	
wh_dlc01_qb_chs_prince_sigvald_sliverslash_stage_4_defender_1	wh_dlc01_qb_chs_prince_sigvald_sliverslash_stage_4_general_1	
wh_dlc01_qb_chs_prince_sigvald_sliverslash_stage_4_player	wh_dlc01_qb_chs_prince_sigvald_sliverslash_stage_4_player	
wh_dlc01_qb_chs_prince_sigvald_sliverslash_stage_4_player	wh_dlc01_qb_chs_prince_sigvald_sliverslash_stage_4_player_sorceror	
wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_defender_1_grandcampaign	wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_defender_1_general	
wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_defender_1	wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_defender_1_general	
wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_player_grandcampaign	wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_player_grandcampaign	
wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_player_grandcampaign	wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_player_shaman	
wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_player	wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_player	
wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_player	wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_player_shaman	
wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_defender_2	wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_defender_3_general	
wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_player_grandcampaign	wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_player_grandcampaign	
wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_player_grandcampaign	wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_player_shaman	
wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_player	wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_player	
wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_player	wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_player_shaman	
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icon_of_vilification_stage_3_defender_1	wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_3_defender_1_general	
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icon_of_vilification_stage_3_player_grandcampaign	wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_3_player_grandcampaign	
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icon_of_vilification_stage_3_player	wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_3_player	
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icon_of_vilification_stage_5_defender_1_gc	wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_5_defender_1_general	enemy_army
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icon_of_vilification_stage_5_defender_1	wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_5_defender_1_general	enemy_army
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icon_of_vilification_stage_5_player_grandcampaign	wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_5_champion	
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icon_of_vilification_stage_5_player_grandcampaign	wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_5_player_grandcampaign	
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icon_of_vilification_stage_5_player	wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_5_champion	
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icon_of_vilification_stage_5_player	wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_5_player	
wh_dlc03_qb_bst_the_final_battle_defender_1	wh_dlc03_qb_bst_the_final_battle_karl_franz	karl
wh_dlc03_qb_bst_the_final_battle_defender_2	wh_dlc03_qb_bst_the_final_battle_louen_leoncoeur	louen
wh_dlc03_qb_bst_the_final_battle_defender_5	wh_dlc03_qb_bst_the_final_battle_brt_general	back_1
wh_dlc03_qb_bst_the_final_battle_player_ally	wh_dlc03_qb_bst_final_battle_ally_general	bst_ally
wh_dlc03_qb_bst_the_final_battle_player	wh_dlc03_qb_bst_final_battle_player_shaman	
wh_dlc03_qb_bst_the_final_battle_player	wh_dlc03_qb_bst_the_final_battle_player	
wh_dlc03_qb_bst_the_final_battle_player	wh_dlc03_qb_bst_the_final_battle_player_champion	
wh_dlc04_qb_emp_volkmar_the_grim_jade_griffon_stage_4_defender_1	wh_dlc04_qb_emp_volkmar_the_grim_jade_griffon_stage_4_defender_1_general	
wh_dlc04_qb_emp_volkmar_the_grim_jade_griffon_stage_4_player	wh_dlc04_qb_emp_volkmar_the_grim_jade_griffon_stage_4_player	
wh_dlc04_qb_emp_volkmar_the_grim_jade_griffon_stage_4_player	wh_dlc04_qb_emp_volkmar_the_grim_jade_griffon_stage_4_player_witchhunter	
wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_4_defender_1	wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_4_defender_1_general	
wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_4_defender_2	wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_4_defender_2_champion	
wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_4_player	wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_4_player	
wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_4_player	wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_4_player_witchhunter	
wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_4_defender_1	wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_4_defender_1_general	
wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_4_defender_2	wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_4_defender_2_witchhunter	
wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_4_player	wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_4_player	
wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_4_player	wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_4_player_champion	
wh_dlc04_qb_vmp_vlad_von_carstein_blood_drinker_stage_4_defender_1	wh_dlc04_qb_vmp_vlad_von_cartein_blood_drinker_stage_4_defender_1_general	
wh_dlc04_qb_vmp_vlad_von_carstein_blood_drinker_stage_4_defender_2	wh_dlc04_qb_vmp_vlad_von_cartein_blood_drinker_stage_4_defender_2_wizard	
wh_dlc04_qb_vmp_vlad_von_carstein_blood_drinker_stage_4_player	wh_dlc04_qb_vmp_vlad_von_cartein_blood_drinker_stage_4_player	
wh_dlc04_qb_vmp_vlad_von_carstein_blood_drinker_stage_4_player	wh_dlc04_qb_vmp_vlad_von_cartein_blood_drinker_stage_4_player_necromancer	
wh_dlc04_qb_vmp_vlad_von_carstein_the_von_carstein_ring_stage_4_defender_1	wh_dlc04_qb_vmp_vlad_von_carstein_the_von_carstein_ring_stage_4_defender_1_general	strigoi
wh_dlc04_qb_vmp_vlad_von_carstein_the_von_carstein_ring_stage_4_defender_3	wh_dlc04_qb_vmp_vlad_von_carstein_the_von_carstein_ring_stage_4_defender_3_witchhunter	
wh_dlc04_qb_vmp_vlad_von_carstein_the_von_carstein_ring_stage_4_player	wh_dlc04_qb_vmp_vlad_von_carstein_the_von_carstein_ring_stage_4_player	
wh_dlc04_qb_vmp_vlad_von_carstein_the_von_carstein_ring_stage_4_player	wh_dlc04_qb_vmp_vlad_von_carstein_the_von_carstein_ring_stage_4_player_necromancer	
wh_dlc05_qb_bst_morghur_stave_of_ruinous_corruption_stage_4_attacker	wh_dlc05_qb_bst_morghur_stave_of_ruinous_corruption_stage_4_attacker_general	
wh_dlc05_qb_bst_morghur_stave_of_ruinous_corruption_stage_4_player	wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_player_shaman	
wh_dlc05_qb_bst_morghur_stave_of_ruinous_corruption_stage_4_player	wh_dlc05_qb_bst_morghur_stave_of_ruinous_corruption_stage_4_player	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_attacker_1	wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_attacker_1_general	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_player_ally	wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_player_ally_general	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_player_mini	wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_player_branchwraith	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_player	wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_player	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_player	wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_player_branchwraith	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_defender_1	wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_defender_1_general	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_player_mini	wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_player_branchwraith	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_player	wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_player	
wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_player	wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_player_branchwraith	
wh_dlc05_qb_wef_grand_defense_of_the_oak_attacker_01	wh_dlc03_bst_cha_beastlord_0	
wh_dlc05_qb_wef_grand_defense_of_the_oak_attacker_02	wh_dlc05_qb_wef_grand_defense_of_the_oak_attacker2_general	
wh_dlc05_qb_wef_grand_defense_of_the_oak_attacker_03	wh_dlc05_qb_wef_grand_defense_of_the_oak_attacker3_general	
wh_dlc05_qb_wef_grand_defense_of_the_oak_attacker_04	wh_dlc05_qb_wef_grand_defense_of_the_oak_attacker1_general	
wh_dlc05_qb_wef_grand_defense_of_the_oak_defender_1	wh_dlc05_qb_wef_grand_defense_of_the_oak_defender1_general	
wh_dlc05_qb_wef_grand_defense_of_the_oak_player	wh_dlc05_qb_wef_grand_defense_of_the_oak_player	
wh_dlc05_qb_wef_grand_defense_of_the_oak_player	wh_dlc05_qb_wef_orion_the_spear_of_kurnous_stage_3_player_spellsinger	
wh_dlc05_qb_wef_grand_silver_spire_player	wh_dlc05_qb_wef_mini_silver_spire_player	
wh_dlc05_qb_wef_grand_silver_spire_player	wh_dlc05_qb_wef_mini_silver_spire_player_spellsinger	
wh_dlc05_qb_wef_grand_silver_spire_player	wh_dlc05_qb_wef_mini_silver_spire_player_spy	
wh_dlc05_qb_wef_mini_silver_spire_attacker_1	wh_dlc05_qb_wef_mini_silver_spire_attacker_1_general	
wh_dlc05_qb_wef_mini_silver_spire_player_ally	wh_dlc05_qb_wef_mini_silver_spire_player_ally_general	
wh_dlc05_qb_wef_mini_silver_spire_player	wh_dlc05_qb_wef_mini_silver_spire_player	
wh_dlc05_qb_wef_mini_silver_spire_player	wh_dlc05_qb_wef_mini_silver_spire_player_spellsinger	
wh_dlc05_qb_wef_mini_silver_spire_player	wh_dlc05_qb_wef_mini_silver_spire_player_spy	
wh_dlc05_qb_wef_orion_the_cloak_of_isha_stage_3_defender_1	wh_dlc05_qb_wef_orion_the_cloak_of_isha_stage_3_defender_general	
wh_dlc05_qb_wef_orion_the_cloak_of_isha_stage_3_player	wh_dlc05_qb_wef_orion_the_cloak_of_isha_stage_3_player	
wh_dlc05_qb_wef_orion_the_horn_of_the_wild_stage_3_defender_1	wh_dlc05_qb_wef_orion_horn_of_the_wild_stage_3_defender_general_fix_for_campaign	guardians
wh_dlc05_qb_wef_orion_the_horn_of_the_wild_stage_3_player	wh_dlc05_qb_wef_orion_the_horn_of_the_wild_stage_3_player	
wh_dlc05_qb_wef_orion_the_horn_of_the_wild_stage_3_player	wh_dlc05_qb_wef_orion_the_horn_of_the_wild_stage_3_player_spellsinger	
wh_dlc05_qb_wef_orion_the_spear_of_kurnous_stage_3_attacker_1	wh_dlc05_qb_wef_orion_the_spear_of_kurnous_stage_3_attacker_general	enemy_army
wh_dlc05_qb_wef_orion_the_spear_of_kurnous_stage_3_player	wh_dlc05_qb_wef_orion_the_spear_of_kurnous_stage_3_player	
wh_dlc05_qb_wef_orion_the_spear_of_kurnous_stage_3_player	wh_dlc05_qb_wef_orion_the_spear_of_kurnous_stage_3_player_spellsinger	
wh_dlc05_qb_wef_orion_the_spear_of_kurnous_stage_3_player	wh_dlc05_qb_wef_orion_the_spear_of_kurnous_stage_3_player_spy	
wh_dlc06_qb_dwf_belegar_ironhammer_hammer_of_angrund_stage_4_defender_1	wh_dlc06_qb_dwf_belegar_ironhammer_hammer_of_angrund_stage_4_defender_1_general	
wh_dlc06_qb_dwf_belegar_ironhammer_hammer_of_angrund_stage_4_defender_2	wh_dlc06_qb_dwf_belegar_ironhammer_hammer_of_angrund_stage_4_defender_2_champion	
